target_count,seed_index,stage,cycles,actual_iter,result_index,trial_count,L_BBHT,semantic_equal
1,47,K3/H3-E4-M2,17815,26,507,21,120,1
1,48,Normal-E1,196374,157,507,25,157,1
1,48,K4/H4-E1,68678,36,507,25,157,1
1,48,K4/H4-E4,41437,36,507,25,157,1
1,48,K3/H3-E4,34931,37,507,25,157,1
1,48,K3/H3-E4-M1,28668,37,507,25,157,1
1,48,K3/H3-E4-M2,22515,37,507,25,157,1
1,49,Normal-E1,184541,148,507,23,148,1
1,49,K4/H4-E1,67198,40,507,23,148,1
1,49,K4/H4-E4,36093,40,507,23,148,1
1,49,K3/H3-E4,34069,40,507,23,148,1
1,49,K3/H3-E4-M1,28203,40,507,23,148,1
1,49,K3/H3-E4-M2,22199,40,507,23,148,1
1,50,Normal-E1,318088,275,507,26,275,1
1,50,K4/H4-E1,91999,63,507,26,275,1
1,50,K4/H4-E4,45348,63,507,26,275,1
1,50,K3/H3-E4,41800,66,507,26,275,1
1,50,K3/H3-E4-M1,35144,66,507,26,275,1
1,50,K3/H3-E4-M2,29990,66,507,26,275,1
1,51,Normal-E1,154680,122,507,22,122,1
1,51,K4/H4-E1,48875,23,507,22,122,1
1,51,K4/H4-E4,31106,23,507,22,122,1
1,51,K3/H3-E4,27076,23,507,22,122,1
1,51,K3/H3-E4-M1,21465,23,507,22,122,1
1,51,K3/H3-E4-M2,17491,23,507,22,122,1
1,52,Normal-E1,299876,256,507,26,256,1
1,52,K4/H4-E1,120278,85,507,26,256,1
1,52,K4/H4-E4,56436,85,507,26,256,1
1,52,K3/H3-E4,49446,89,507,26,256,1
1,52,K3/H3-E4-M1,42790,89,507,26,256,1
1,52,K3/H3-E4-M2,36278,89,507,26,256,1
1,53,Normal-E1,204691,167,507,24,167,1
1,53,K4/H4-E1,71132,43,507,24,167,1
1,53,K4/H4-E4,38642,43,507,24,167,1
1,53,K3/H3-E4,35142,43,507,24,167,1
1,53,K3/H3-E4-M1,28998,43,507,24,167,1
1,53,K3/H3-E4-M2,23508,43,507,24,167,1
1,54,Normal-E1,326209,283,507,25,283,1
1,54,K4/H4-E1,99274,69,507,25,283,1
1,54,K4/H4-E4,45897,69,507,25,283,1
1,54,K3/H3-E4,43618,71,507,25,283,1
1,54,K3/H3-E4-M1,37233,71,507,25,283,1
1,54,K3/H3-E4-M2,31227,71,507,25,283,1
1,55,Normal-E1,311994,269,507,26,269,1
1,55,K4/H4-E1,114089,83,507,26,269,1
1,55,K4/H4-E4,49960,83,507,26,269,1
1,55,K3/H3-E4,46530,83,507,26,269,1
1,55,K3/H3-E4-M1,39940,83,507,26,269,1
1,55,K3/H3-E4-M2,34708,83,507,26,269,1
1,56,Normal-E1,177165,142,507,23,142,1
1,56,K4/H4-E1,80999,54,507,23,142,1
1,56,K4/H4-E4,40015,54,507,23,142,1
1,56,K3/H3-E4,36866,55,507,23,142,1
1,56,K3/H3-E4-M1,30978,55,507,23,142,1
1,56,K3/H3-E4-M2,26013,55,507,23,142,1
1,57,Normal-E1,280527,241,507,24,241,1
1,57,K4/H4-E1,80449,53,507,24,241,1
1,57,K4/H4-E4,39360,53,507,24,241,1
1,57,K3/H3-E4,40642,67,507,24,241,1
1,57,K3/H3-E4-M1,34498,67,507,24,241,1
1,57,K3/H3-E4-M2,29551,67,507,24,241,1
1,58,Normal-E1,419071,369,507,28,369,1
1,58,K4/H4-E1,172371,134,507,28,369,1
1,58,K4/H4-E4,69748,134,507,28,369,1
1,58,K3/H3-E4,62815,134,507,28,369,1
1,58,K3/H3-E4-M1,55660,134,507,28,369,1
1,58,K3/H3-E4-M2,49423,134,507,28,369,1
1,59,Normal-E1,178645,141,507,24,141,1
1,59,K4/H4-E1,55359,28,507,24,141,1
1,59,K4/H4-E4,33470,28,507,24,141,1
1,59,K3/H3-E4,33169,33,507,24,141,1
1,59,K3/H3-E4-M1,27025,33,507,24,141,1
1,59,K3/H3-E4-M2,20906,33,507,24,141,1
1,60,Normal-E1,167217,135,507,21,135,1
1,60,K4/H4-E1,57466,31,507,21,135,1
1,60,K4/H4-E4,33513,31,507,21,135,1
1,60,K3/H3-E4,29343,33,507,21,135,1
1,60,K3/H3-E4-M1,24149,33,507,21,135,1
1,60,K3/H3-E4-M2,20069,33,507,21,135,1
1,61,Normal-E1,353876,306,507,27,306,1
1,61,K4/H4-E1,96830,63,507,27,306,1
1,61,K4/H4-E4,48061,63,507,27,306,1
1,61,K3/H3-E4,53404,97,507,27,306,1
1,61,K3/H3-E4-M1,46538,97,507,27,306,1
1,61,K3/H3-E4-M2,39420,97,507,27,306,1
1,62,Normal-E1,233986,196,507,24,196,1
1,62,K4/H4-E1,71570,44,507,24,196,1
1,62,K4/H4-E4,37500,44,507,24,196,1
1,62,K3/H3-E4,34484,44,507,24,196,1
1,62,K3/H3-E4-M1,28507,44,507,24,196,1
1,62,K3/H3-E4-M2,23580,44,507,24,196,1
1,63,Normal-E1,95281,67,507,19,67,1
1,63,K4/H4-E1,34964,13,507,19,67,1
1,63,K4/H4-E4,24595,13,507,19,67,1
1,63,K3/H3-E4,23619,14,507,19,67,1
1,63,K3/H3-E4-M1,18755,14,507,19,67,1
1,63,K3/H3-E4-M2,13721,14,507,19,67,1
1,64,Normal-E1,162081,129,507,23,129,1
1,64,K4/H4-E1,61126,35,507,23,129,1
1,64,K4/H4-E4,35189,35,507,23,129,1
1,64,K3/H3-E4,30705,37,507,23,129,1
1,64,K3/H3-E4-M1,25031,37,507,23,129,1
1,64,K3/H3-E4-M2,21751,37,507,23,129,1
1,65,Normal-E1,320708,277,507,26,277,1
1,65,K4/H4-E1,122201,92,507,26,277,1
1,65,K4/H4-E4,51313,92,507,26,277,1
1,65,K3/H3-E4,49901,94,507,26,277,1
1,65,K3/H3-E4-M1,43245,94,507,26,277,1
1,65,K3/H3-E4-M2,37412,94,507,26,277,1
1,66,Normal-E1,65700,45,507,15,45,1
1,66,K4/H4-E1,29821,12,507,15,45,1
1,66,K4/H4-E4,20988,12,507,15,45,1
1,66,K3/H3-E4,18272,12,507,15,45,1
1,66,K3/H3-E4-M1,14516,12,507,15,45,1
