target_count,seed_index,semantic_equal,result_index,trial_count,L_BBHT,Normal-E1,K4/H4-E1,K4/H4-E4,K3/H3-E4,K3/H3-E4-M1,K3/H3-E4-M2
4,78,1,4724,25,177,216315,89073,44527,42696,36472,30976
4,79,1,2852,22,90,122687,55191,33621,30387,24755,19573
4,80,1,8685,24,175,212613,75804,38555,36000,29856,24712
4,81,1,8685,9,12,24215,15332,12643,11534,9230,7410
4,82,1,8685,12,18,35152,20612,16387,15276,12204,8961
4,83,1,8685,14,23,42809,25791,19262,17815,14231,10768
4,84,1,4724,21,132,164736,50425,30840,28763,23387,18466
4,85,1,4724,20,91,120491,48015,29495,27648,22528,18394
4,86,1,8685,21,91,122049,43904,28159,26310,21124,16535
4,87,1,4724,19,89,117074,41783,26038,24275,19411,15400
4,88,1,8685,16,48,70518,33760,21855,20542,16490,13286
4,89,1,507,16,41,64011,26782,20253,19144,15048,11158
4,90,1,8685,18,54,79984,41739,25226,24911,20303,16242
4,91,1,507,17,53,77422,38246,24508,22300,17948,14242
4,92,1,2852,11,13,28229,20398,15405,14294,11478,8854
4,93,1,8685,20,96,126257,47489,28672,27179,22059,17275
4,94,1,4724,19,71,98062,44505,26456,25722,20858,17224
4,95,1,8685,17,47,71292,41188,26979,22591,18495,14738
4,96,1,8685,19,74,100911,40450,26256,23083,18219,14881
4,97,1,2852,22,124,157213,53083,32345,28997,23365,18965
4,98,1,8685,20,102,131657,43528,28286,24927,19807,15764
4,99,1,8685,16,42,64588,32527,21390,20281,16185,12729
16,0,1,4512,11,15,30404,17403,14714,13605,10789,8010
16,1,1,507,15,23,43043,26541,19244,17538,13698,11176
16,2,1,10593,17,56,80108,35482,22809,21359,17007,13552
16,3,1,5281,18,56,81842,42032,26408,23912,19304,15546
16,4,1,4512,14,27,46417,23924,18163,16762,13178,10193
16,5,1,10839,15,18,38186,22660,18435,16788,12948,10070
16,6,1,3947,17,68,92220,37175,23734,21615,17263,14220
16,7,1,5281,12,25,41145,21855,16094,14572,11500,9479
16,8,1,2852,14,32,52262,24312,18551,17440,13856,10274
16,9,1,3947,12,20,37567,21994,17001,15890,12818,9234
16,10,1,14405,15,35,55562,28752,19919,18196,14403,11534
16,11,1,1721,17,57,80467,29483,21418,19359,15007,12434
16,12,1,5281,16,28,49931,29061,21099,19554,15670,12337
16,13,1,10593,16,43,66955,27656,21127,20548,16452,11694
16,14,1,4724,19,71,99867,39829,27156,24869,20162,14724
16,15,1,14405,21,85,116214,61534,34269,31836,26460,21694
16,16,1,10931,13,30,48481,24697,18168,16503,13175,10144
16,17,1,5281,11,13,28285,18389,14932,13823,11007,8348
16,18,1,5281,14,27,46270,26001,18704,17141,13610,10678
16,19,1,10931,21,82,113122,54885,33105,29991,24615,19459
16,20,1,10931,17,58,83232,33582,23213,21620,17268,12949
16,21,1,7786,19,67,94573,37318,25413,24109,19245,15167
16,22,1,491,15,37,57570,26158,18861,17609,13769,11098
16,23,1,8685,12,21,39278,23709,17948,16839,13767,9625
16,24,1,7786,16,47,70020,31034,21433,20816,16720,13069
16,25,1,491,9,6,17473,13753,11832,10723,8419,7064
16,26,1,4512,15,29,48893,26630,18565,17456,13616,11244
16,27,1,3947,14,32,51967,27258,19193,17941,14357,11177
16,28,1,5281,11,17,32027,19033,14808,13699,10883,8550
16,29,1,7786,14,30,49852,22984,17991,16829,13245,9880
16,30,1,3947,15,26,46174,23911,18150,17041,13201,10552
16,31,1,2852,14,35,55022,26244,18947,17631,14047,10682
16,32,1,5281,21,70,99915,47847,28262,27325,21949,17568
16,33,1,491,13,23,40572,21391,16398,15289,11961,9463
16,34,1,8685,11,17,32251,18221,14764,13655,10839,8308
16,35,1,10593,15,30,51406,31132,21531,19468,15628,11979
16,36,1,10931,7,5,15341,13670,11749,10640,8848,6499
16,37,1,491,2,1,3364,7335,6182,5073,4561,4439
16,38,1,15288,15,40,61976,28254,20957,18913,15073,11151
16,39,1,15288,18,71,97871,44655,27374,24707,20099,15816
16,40,1,507,18,48,73305,34396,24027,21515,16907,13403
16,41,1,491,14,29,48154,25790,18493,16959,13375,10745
16,42,1,4512,17,57,81676,35373,23468,21625,17273,13416
16,43,1,10839,8,6,16466,14289,11600,10491,8443,7056
16,44,1,2852,20,93,121730,41998,26253,24562,19442,15941
16,45,1,7786,12,21,36693,21121,15360,14251,11179,9362
16,46,1,5281,18,68,95183,39205,25764,24062,19454,14450
16,47,1,1801,15,30,50698,29475,19874,19030,15190,12105
16,48,1,15288,13,13,31673,22822,17829,16720,13392,9654
