target_count,seed_index,result_index,trial_count,L_BBHT,orca_sw_us,m2_hw_us,m2_vs_orca_speedup
4,19,507,21,82,17150105,166,103313.88554216867
4,20,507,22,112,22838068,186,122785.31182795699
4,21,2852,9,4,1712989,50,34259.78
4,22,507,15,37,8223559,83,99079.02409638555
4,23,8685,12,21,5276498,69,76470.98550724638
4,24,8685,9,14,3421126,50,68422.52
4,25,4724,19,77,16002583,133,120320.17293233082
4,26,2852,21,83,17189827,136,126395.78676470589
4,27,507,19,77,16047386,133,120657.03759398496
4,28,2852,23,142,28246977,173,163277.32369942198
4,29,2852,18,62,13134685,127,103422.71653543306
4,30,2852,20,80,16533421,149,110962.55704697987
4,31,4724,10,14,3657452,53,69008.52830188679
4,32,4724,21,70,14862639,149,99749.25503355704
4,33,8685,20,98,19807577,159,124575.95597484277
4,34,8685,11,17,4249400,56,75882.14285714286
4,35,8685,18,73,15270499,118,129411.00847457627
4,36,4724,17,47,10404896,146,71266.4109589041
4,37,507,20,85,17523849,165,106205.14545454546
4,38,8685,16,54,11549878,100,115498.78
4,39,4724,18,71,14842719,130,114174.76153846153
4,40,507,18,48,10586626,107,98940.42990654205
4,41,2852,12,14,3786424,67,56513.79104477612
4,42,2852,15,34,7777162,93,83625.39784946236
4,43,4724,19,98,19859582,130,152766.0153846154
4,44,2852,21,123,24498864,163,150299.77914110429
4,45,2852,20,102,20568416,164,125417.17073170732
4,46,507,18,68,14371161,117,122830.43589743589
4,47,8685,19,76,15795848,143,110460.47552447552
4,48,2852,22,95,19707271,181,108879.9502762431
4,49,507,16,44,9813635,118,83166.39830508475
4,50,8685,12,9,2792939,53,52696.96226415094
4,51,4724,21,111,22291770,145,153736.3448275862
4,52,2852,18,73,15323916,126,121618.38095238095
4,53,4724,20,77,16176020,147,110040.95238095238
4,54,2852,24,217,42119129,268,157160.9291044776
4,55,507,23,124,24945279,227,109891.09691629956
4,56,8685,19,59,12741787,129,98773.54263565892
4,57,4724,22,166,32412810,195,166219.53846153847
4,58,507,21,97,19969654,138,144707.63768115942
4,59,2852,20,86,17865658,144,124067.06944444444
4,60,507,18,84,17163968,135,127140.50370370371
4,61,507,22,123,24903276,232,107341.70689655172
4,62,2852,23,153,30310376,180,168390.97777777776
4,63,2852,18,54,11815652,99,119350.0202020202
4,64,507,19,64,13489850,119,113360.08403361344
4,65,8685,23,131,26233936,256,102476.3125
4,66,4724,25,172,33841178,272,124416.0955882353
4,67,8685,16,30,7096546,88,80642.56818181818
4,68,2852,21,81,17000436,163,104297.15337423312
4,69,8685,22,106,21552016,156,138153.94871794872
4,70,2852,23,119,23999306,203,118223.18226600986
4,71,2852,22,124,24972042,190,131431.8
4,72,507,12,15,3886889,59,65879.47457627118
4,73,2852,20,66,14143198,147,96212.23129251701
4,74,507,21,145,28500066,166,171687.14457831325
4,75,2852,9,9,2632789,48,54849.770833333336
4,76,2852,16,47,10155163,98,103624.11224489796
4,77,507,18,67,13934446,127,109720.04724409449
4,78,4724,25,177,34877023,282,123677.3865248227
4,79,2852,22,90,18750717,168,111611.41071428571
4,80,8685,24,175,34370060,219,156940.91324200912
4,81,8685,9,12,3104478,47,66052.72340425532
4,82,8685,12,18,4609495,63,73166.58730158731
4,83,8685,14,23,5708702,80,71358.775
4,84,4724,21,132,26291123,157,167459.3821656051
4,85,4724,20,91,18642038,155,120271.21290322581
4,86,8685,21,91,18787391,138,136140.51449275363
4,87,4724,19,89,18170832,157,115737.78343949045
4,88,8685,16,48,10369009,105,98752.46666666666
4,89,507,16,41,9173825,85,107927.35294117648
4,90,8685,18,54,11747431,135,87018.00740740741
4,91,507,17,53,11432877,114,100288.3947368421
4,92,2852,11,13,3536139,61,57969.49180327869
4,93,8685,20,96,19636068,144,136361.58333333334
4,94,4724,19,71,14842556,144,103073.30555555556
4,95,8685,17,47,10345541,119,86937.3193277311
4,96,8685,19,74,15359616,120,127996.8
4,97,2852,22,124,24866374,162,153496.13580246913
4,98,8685,20,102,20630338,130,158694.9076923077
4,99,8685,16,42,9312837,100,93128.37
16,0,4512,11,15,3922596,52,75434.53846153847
16,1,507,15,23,5665085,115,49261.608695652176
16,2,10593,17,56,11926964,108,110434.85185185185
16,3,5281,18,56,12081624,127,95130.89763779528
16,4,4512,14,27,6369225,74,86070.6081081081
16,5,10839,15,18,4793761,73,65667.95890410959
