target_count,seed_index,seed_j,seed_meas,success,result_index,trial_count,L_BBHT,grover_iterations,termination,saturations,timer_hi,timer_lo,elapsed_us
16,49,857760764,573285756,1,15288,16,44,44,0,0,0,9872130,9872130
16,50,3606316651,2879305492,1,8685,18,48,48,0,0,0,10542060,10542060
16,51,1689870988,2631447832,1,10931,16,43,43,0,0,0,9468843,9468843
16,52,2303616881,2317704238,1,10931,16,43,43,0,0,0,9624625,9624625
16,53,3823528168,4280230083,1,1801,17,33,33,0,0,0,7836145,7836145
16,54,915932166,4225497697,1,5281,22,121,121,0,0,0,24404601,24404601
16,55,290270026,2786569550,1,10931,16,33,33,0,0,0,7687652,7687652
16,56,998836193,208452880,1,10931,10,10,10,0,0,0,2900043,2900043
16,57,751868957,2521805223,1,7786,17,61,61,0,0,0,12815206,12815206
16,58,1836746244,3178207686,1,1721,15,37,37,0,0,0,8409499,8409499
16,59,531476290,1610680995,1,7786,16,49,49,0,0,0,10688445,10688445
16,60,2466151677,3041798003,1,7786,18,84,84,0,0,0,17199437,17199437
16,61,451719264,2622774970,1,14405,21,83,83,0,0,0,17546278,17546278
16,62,2440531139,3172801472,1,491,19,77,77,0,0,0,16013692,16013692
16,63,3870812139,3577911438,1,7786,16,42,42,0,0,0,9409358,9409358
16,64,1735398476,3537094375,1,10931,16,32,32,0,0,0,7424535,7424535
16,65,3321930312,169740356,1,10839,21,67,67,0,0,0,14330951,14330951
16,66,514127920,787542670,1,491,15,45,45,0,0,0,9656118,9656118
16,67,1670776051,2145406851,1,8685,16,30,30,0,0,0,7095177,7095177
16,68,1846037124,3057889662,1,3947,21,81,81,0,0,0,17002208,17002208
16,69,1031783542,1182628420,1,5281,17,36,36,0,0,0,8296803,8296803
16,70,3989452917,4021149982,1,2852,4,3,3,0,0,0,924725,924725
16,71,3095597597,157050764,1,2852,16,27,27,0,0,0,6639933,6639933
16,72,2900502423,3158452890,1,491,12,15,15,0,0,0,3886335,3886335
16,73,4023588653,2351706675,1,1721,17,35,35,0,0,0,8211147,8211147
16,74,3869953461,2132546954,1,10593,10,15,15,0,0,0,3735495,3735495
16,75,1701234072,3397405440,1,15288,14,31,31,0,0,0,7126292,7126292
16,76,1315204509,3417201344,1,2852,10,13,13,0,0,0,3325933,3325933
16,77,98049391,638337043,1,8685,15,31,31,0,0,0,7084126,7084126
16,78,538506915,1462290420,1,15288,17,41,41,0,0,0,9333085,9333085
16,79,1905180428,1300055564,1,491,16,43,43,0,0,0,9450507,9450507
16,80,69898007,546550772,1,491,12,16,16,0,0,0,4119634,4119634
16,81,4229723997,901587185,1,8685,9,12,12,0,0,0,3104385,3104385
16,82,381238115,2103483301,1,8685,12,18,18,0,0,0,4609388,4609388
16,83,2363556494,2975000559,1,2852,10,12,12,0,0,0,3263362,3263362
16,84,2277169536,2109667991,1,7786,18,66,66,0,0,0,13921561,13921561
16,85,3594356467,4114193610,1,2852,18,44,44,0,0,0,9887505,9887505
16,86,4004225282,22417344,1,7786,15,36,36,0,0,0,8107444,8107444
16,87,3254707387,3353423192,1,7786,16,46,46,0,0,0,10018094,10018094
16,88,117950938,4131693561,1,10593,16,48,48,0,0,0,10375916,10375916
16,89,3725433904,1487072911,1,5281,14,27,27,0,0,0,6456481,6456481
16,90,2094067655,2671271163,1,5281,18,54,54,0,0,0,11796141,11796141
16,91,3838529702,2496739113,1,10931,17,53,53,0,0,0,11474226,11474226
16,92,2693276185,418864420,1,507,20,86,86,0,0,0,17717125,17717125
16,93,3291866866,4149891772,1,5281,15,45,45,0,0,0,9748109,9748109
16,94,18572272,178471750,1,1721,17,40,40,0,0,0,8964364,8964364
16,95,457535095,3997568916,1,4724,10,12,12,0,0,0,3274825,3274825
16,96,268994056,4014048049,1,4724,17,42,42,0,0,0,9333912,9333912
16,97,1875886930,4177174348,1,1801,16,33,33,0,0,0,7622272,7622272
16,98,4217403311,1899337129,1,1801,13,20,20,0,0,0,4927075,4927075
16,99,3337336622,150860041,1,15288,21,101,101,0,0,0,20543736,20543736
64,0,2065550767,607587826,1,2852,6,4,4,0,0,0,1384371,1384371
64,1,981837020,2746853941,1,8685,13,14,14,0,0,0,3856069,3856069
64,2,1633855666,2266769263,1,8089,7,3,3,0,0,0,1264351,1264351
64,3,3282944846,4122538539,1,4876,13,19,19,0,0,0,4853852,4853852
64,4,732984319,1065588451,1,4720,8,4,4,0,0,0,1594030,1594030
64,5,3663223475,2803464919,1,4876,18,40,40,0,0,0,9123904,9123904
64,6,248580544,1459736146,1,7786,12,24,24,0,0,0,5586500,5586500
64,7,271503219,1405575467,1,1801,12,25,25,0,0,0,5671497,5671497
64,8,3475617441,891492996,1,3304,11,13,13,0,0,0,3576390,3576390
64,9,3298605890,3500391352,1,12001,1,0,0,0,0,0,120595,120595
64,10,1287986467,3993909940,1,8685,5,4,4,0,0,0,1233856,1233856
64,11,4192774778,839435034,1,682,12,19,19,0,0,0,4655839,4655839
64,12,3718819921,3356515485,1,26,14,20,20,0,0,0,5084949,5084949
64,13,2885358015,4125017950,1,9302,11,17,17,0,0,0,4351429,4351429
64,14,543397905,1802140743,1,14567,12,19,19,0,0,0,4788650,4788650
64,15,2893196498,3397696620,1,7400,10,7,7,0,0,0,2334518,2334518
64,16,1235409529,3778504485,1,10839,13,30,30,0,0,0,6842528,6842528
64,17,1671752151,1634130852,1,6247,7,6,6,0,0,0,1853531,1853531
64,18,2307125506,1140547971,1,14542,9,8,8,0,0,0,2392569,2392569
64,19,3060902520,3380271266,1,4724,11,16,16,0,0,0,4122236,4122236
64,20,3672856170,2560514877,1,14542,13,20,20,0,0,0,5044255,5044255
64,21,4128775168,2739252299,1,11647,13,18,18,0,0,0,4653110,4653110
64,22,1310251090,2693365983,1,4724,8,6,6,0,0,0,1833525,1833525
64,23,2687880890,1629349060,1,16090,10,13,13,0,0,0,3574171,3574171
64,24,3259068132,1931736185,1,2888,3,2,2,0,0,0,631819,631819
64,25,4225432541,2696990511,1,3073,6,3,3,0,0,0,1117877,1117877
64,26,2755641159,2380888848,1,8225,12,13,13,0,0,0,3544472,3544472
64,27,1746008001,3406234698,1,173,10,11,11,0,0,0,3092305,3092305
64,28,1628298796,2364923577,1,10593,10,14,14,0,0,0,3585910,3585910
64,29,2183404423,3152183097,1,14542,7,6,6,0,0,0,1909592,1909592
64,30,1214542992,3935654379,1,3903,11,11,11,0,0,0,3090155,3090155
64,31,1675574143,2830129121,1,160,11,19,19,0,0,0,4639864,4639864
64,32,1127294395,841088752,1,4720,2,1,1,0,0,0,407447,407447
64,33,2034482752,1715596921,1,160,4,1,1,0,0,0,596706,596706
64,34,650719826,1734158600,1,6247,10,13,13,0,0,0,3462165,3462165
64,35,3689147721,2815421014,1,7400,13,18,18,0,0,0,4663512,4663512
64,36,3270286260,3217075870,1,5531,14,23,23,0,0,0,5742279,5742279
64,37,3891037529,812672172,1,8225,16,28,28,0,0,0,6760907,6760907
64,38,3434646356,753926488,1,10931,10,17,17,0,0,0,4236187,4236187
64,39,3037914788,731803788,1,2888,11,13,13,0,0,0,3555215,3555215
64,40,2116828546,2795483541,1,11272,10,9,9,0,0,0,2684174,2684174
64,41,1488184749,597824083,1,4512,6,5,5,0,0,0,1499564,1499564
64,42,2584200203,1051168140,1,507,10,8,8,0,0,0,2502808,2502808
64,43,4059669835,2063653729,1,11272,10,12,12,0,0,0,3209661,3209661
64,44,4221968685,3099080042,1,7400,11,8,8,0,0,0,2563831,2563831
64,45,480642581,3612588106,1,7786,11,14,14,0,0,0,3584588,3584588
64,46,2693122366,431509581,1,6247,9,10,10,0,0,0,2805709,2805709
64,47,404293123,2902735026,1,5200,15,30,30,0,0,0,7011525,7011525
64,48,3239328888,3151672269,1,15288,13,13,13,0,0,0,3837386,3837386
64,49,857760764,573285756,1,10234,11,11,11,0,0,0,3264888,3264888
64,50,3606316651,2879305492,1,1038,16,32,32,0,0,0,7392653,7392653
64,51,1689870988,2631447832,1,14405,8,10,10,0,0,0,2618432,2618432
