m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
4,39,normal,4724,18,71,71,27355,0
4,39,ckpt,4724,18,71,22,12564,0
4,40,normal,507,18,48,48,21126,0
4,40,ckpt,507,18,48,13,10080,0
4,41,normal,2852,12,14,14,9269,0
4,41,ckpt,2852,12,14,7,6211,0
4,42,normal,2852,15,34,34,15990,0
4,42,ckpt,2852,15,34,12,8672,0
4,43,normal,4724,19,98,98,34913,0
4,43,ckpt,4724,19,98,20,12505,0
4,44,normal,2852,21,123,123,42358,0
4,44,ckpt,2852,21,123,32,15921,0
4,45,normal,2852,20,102,102,36301,0
4,45,ckpt,2852,20,102,33,15894,0
4,46,normal,507,18,68,68,26524,0
4,46,ckpt,507,18,68,18,11278,0
4,47,normal,8685,19,76,76,29001,0
4,47,ckpt,8685,19,76,26,13855,0
4,48,normal,2852,22,95,95,35613,0
4,48,ckpt,2852,22,95,35,17637,0
4,49,normal,507,16,44,44,19104,0
4,49,ckpt,507,16,44,12,11215,0
4,50,normal,8685,12,9,9,7970,0
4,50,ckpt,8685,12,9,2,4849,0
4,51,normal,4724,21,111,111,39172,0
4,51,ckpt,4724,21,111,23,13927,0
4,52,normal,2852,18,73,73,27816,0
4,52,ckpt,2852,18,73,21,12037,0
4,53,normal,4724,20,77,77,29789,0
4,53,ckpt,4724,20,77,26,14198,0
4,54,normal,2852,24,217,217,68726,0
4,54,ckpt,2852,24,217,66,26234,0
4,55,normal,507,23,124,124,43667,0
4,55,ckpt,507,23,124,52,22183,0
4,56,normal,8685,19,59,59,24530,0
4,56,ckpt,8685,19,59,21,12343,0
4,57,normal,4724,22,166,166,54250,0
4,57,ckpt,4724,22,166,42,19001,0
4,58,normal,507,21,97,97,35487,0
4,58,ckpt,507,21,97,21,13306,0
4,59,normal,2852,20,86,86,32233,0
4,59,ckpt,2852,20,86,25,13965,0
4,60,normal,507,18,84,84,30707,0
4,60,ckpt,507,18,84,23,12932,0
4,61,normal,507,22,123,123,42877,0
4,61,ckpt,507,22,123,48,22695,0
4,62,normal,2852,23,153,153,51375,0
4,62,ckpt,2852,23,153,34,17395,0
4,63,normal,2852,18,54,54,22733,0
4,63,ckpt,2852,18,54,11,9335,0
4,64,normal,507,19,64,64,25841,0
4,64,ckpt,507,19,64,16,11378,0
4,65,normal,8685,23,131,131,45343,0
4,65,ckpt,8685,23,131,64,25113,0
4,66,normal,4724,25,172,172,57338,0
4,66,ckpt,4724,25,172,65,26681,0
4,67,normal,8685,16,30,30,15356,0
4,67,ckpt,8685,16,30,9,8253,0
4,68,normal,2852,21,81,81,31300,0
4,68,ckpt,2852,21,81,31,15824,0
4,69,normal,8685,22,106,106,38347,0
4,69,ckpt,8685,22,106,27,15076,0
4,70,normal,2852,23,119,119,42300,0
4,70,ckpt,2852,23,119,42,19849,0
4,71,normal,2852,22,124,124,43131,0
4,71,ckpt,2852,22,124,40,18572,0
4,72,normal,507,12,15,15,9580,0
4,72,ckpt,507,12,15,4,5399,0
4,73,normal,2852,20,66,66,26719,0
4,73,ckpt,2852,20,66,18,14253,0
4,74,normal,507,21,145,145,48162,0
4,74,ckpt,507,21,145,33,16198,0
4,75,normal,2852,9,9,9,6587,0
4,75,ckpt,2852,9,9,4,4368,0
4,76,normal,2852,16,47,47,19926,0
4,76,ckpt,2852,16,47,13,9166,0
4,77,normal,507,18,67,67,26086,0
4,77,ckpt,507,18,67,22,12159,0
4,78,normal,4724,25,177,177,58613,0
4,78,ckpt,4724,25,177,69,27697,0
4,79,normal,2852,22,90,90,34155,0
4,79,ckpt,2852,22,90,31,16294,0
4,80,normal,8685,24,175,175,57521,0
4,80,ckpt,8685,24,175,48,21433,0
4,81,normal,8685,9,12,12,7410,0
4,81,ckpt,8685,9,12,3,4131,0
4,82,normal,8685,12,18,18,10393,0
4,82,ckpt,8685,12,18,5,5682,0
4,83,normal,8685,14,23,23,12589,0
4,83,ckpt,8685,14,23,9,7489,0
4,84,normal,4724,21,132,132,44836,0
4,84,ckpt,4724,21,132,28,15187,0
4,85,normal,4724,20,91,91,33525,0
4,85,ckpt,4724,20,91,29,15115,0
4,86,normal,8685,21,91,91,33916,0
4,86,ckpt,8685,21,91,20,13256,0
4,87,normal,4724,19,89,89,32532,0
4,87,ckpt,4724,19,89,20,15138,0
4,88,normal,8685,16,48,48,20190,0
4,88,ckpt,8685,16,48,16,10007,0
4,89,normal,507,16,41,41,18377,0
4,89,ckpt,507,16,41,8,7879,0
4,90,normal,8685,18,54,54,22776,0
4,90,ckpt,8685,18,54,24,12963,0
4,91,normal,507,17,53,53,21994,0
4,91,ckpt,507,17,53,18,10963,0
4,92,normal,2852,11,13,13,8570,0
4,92,ckpt,2852,11,13,6,5575,0
4,93,normal,8685,20,96,96,34769,0
4,93,ckpt,8685,20,96,25,13996,0
4,94,normal,4724,19,71,71,27654,0
4,94,ckpt,4724,19,71,27,13945,0
4,95,normal,8685,17,47,47,20503,0
4,95,ckpt,8685,17,47,18,11459,0
4,96,normal,8685,19,74,74,28447,0
4,96,ckpt,8685,19,74,18,11602,0
4,97,normal,2852,22,124,124,43127,0
4,97,ckpt,2852,22,124,28,15686,0
