m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
16,87,dram,7786,16,46,0,24385,0
16,88,dram,10593,16,48,0,23239,0
16,89,dram,5281,14,27,0,19931,0
16,90,dram,5281,18,54,0,27935,0
16,91,dram,10931,17,53,0,25792,0
16,92,dram,507,20,86,0,31328,0
16,93,dram,5281,15,45,0,20610,0
16,94,dram,1721,17,40,0,25744,0
16,95,dram,4724,10,12,0,14851,0
16,96,dram,4724,17,42,0,23106,0
16,97,dram,1801,16,33,0,23084,0
16,98,dram,1801,13,20,0,20034,0
16,99,dram,15288,21,101,0,33029,0
64,0,dram,2852,6,4,2,13895,0
64,1,dram,8685,13,14,3,22700,0
64,2,dram,8089,7,3,0,8734,0
64,3,dram,4876,13,19,0,18758,0
64,4,dram,4720,8,4,0,9921,0
64,5,dram,4876,18,40,6,39355,0
64,6,dram,7786,12,24,0,17359,0
64,7,dram,1801,12,25,0,18658,0
64,8,dram,3304,11,13,0,15772,0
64,9,dram,12001,1,0,0,1446,0
64,10,dram,8685,5,4,0,6571,0
64,11,dram,682,12,19,0,17165,0
64,12,dram,26,14,20,0,20258,0
64,13,dram,9302,11,17,0,15628,0
64,14,dram,14567,12,19,0,16665,0
64,15,dram,7400,10,7,0,12479,0
64,16,dram,10839,13,30,0,17008,0
64,17,dram,6247,7,6,0,10155,0
64,18,dram,14542,9,8,0,12002,0
64,19,dram,4724,11,16,0,15759,0
64,20,dram,14542,13,20,0,18860,0
64,21,dram,11647,13,18,0,16528,0
64,22,dram,4724,8,6,0,10047,0
64,23,dram,16090,10,13,0,16269,0
64,24,dram,2888,3,2,0,3649,0
64,25,dram,3073,6,3,0,7599,0
64,26,dram,8225,12,13,0,15483,0
64,27,dram,173,10,11,0,13243,0
64,28,dram,10593,10,14,0,15949,0
64,29,dram,14542,7,6,0,10557,0
64,30,dram,3903,11,11,0,13777,0
64,31,dram,160,11,19,0,18130,0
64,32,dram,4720,2,1,0,3322,0
64,33,dram,160,4,1,0,4791,0
64,34,dram,6247,10,13,0,15922,0
