target_count,seed_index,seed_j,seed_meas,backend,platform,timing_scope,success,termination_reason,result_index,trial_count,L_BBHT,actual_grover_iterations,cycle_count,elapsed_us,execution_seconds,wall_seconds,build_seconds,transpile_seconds
1,18,0x8983f102,0x43fb6183,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,24,216,216,,,0.02489525289274752,0.02489525289274752,,
1,18,0x8983f102,0x43fb6183,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,24,216,70,,,0.19545992906205356,0.19545992906205356,,
1,18,0x8983f102,0x43fb6183,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,24,216,73,,,0.014972920063883066,0.014972920063883066,,
1,19,0xb671aa78,0xc97ad8a2,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,21,82,,,,0.005592503119260073,0.009811013005673885,,
1,19,0xb671aa78,0xc97ad8a2,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,21,82,,,,1.004577252548188,1.0156514048576355,0.0,0.0
1,19,0xb671aa78,0xc97ad8a2,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,22,122,122,,,0.01749526895582676,0.01749526895582676,,
1,19,0xb671aa78,0xc97ad8a2,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,22,122,42,,,0.014903989154845476,0.014903989154845476,,
1,19,0xb671aa78,0xc97ad8a2,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,22,122,47,,,0.011928165098652244,0.011928165098652244,,
1,20,0xdaeb566a,0x989e5b3d,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,22,112,,,,0.007825099164620042,0.0132245859131217,,
1,20,0xdaeb566a,0x989e5b3d,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,22,112,,,,1.2242876740638167,1.2355717269238085,0.0,0.0
1,20,0xdaeb566a,0x989e5b3d,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,27,311,311,,,0.04133908497169614,0.04133908497169614,,
1,20,0xdaeb566a,0x989e5b3d,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,27,311,100,,,0.02576941205188632,0.02576941205188632,,
1,20,0xdaeb566a,0x989e5b3d,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,27,311,109,,,0.01967342896386981,0.01967342896386981,,
1,21,0xf6181c00,0xa345ac4b,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,26,200,,,,0.010918259155005217,0.01595309912227094,,
1,21,0xf6181c00,0xa345ac4b,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,26,200,,,,2.456198589876294,2.469393373001367,0.0,0.0
1,21,0xf6181c00,0xa345ac4b,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,26,200,200,,,0.02991981990635395,0.02991981990635395,,
1,21,0xf6181c00,0xa345ac4b,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,26,200,62,,,0.019861945882439613,0.019861945882439613,,
1,21,0xf6181c00,0xa345ac4b,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,26,200,68,,,0.015236082021147013,0.015236082021147013,,
1,22,0x4e18d852,0xa08980df,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,15,37,,,,0.0026124699506908655,0.005577263189479709,,
1,22,0x4e18d852,0xa08980df,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,15,37,,,,0.43871806375682354,0.4482279741205275,0.0,0.0
1,22,0x4e18d852,0xa08980df,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,15,37,37,,,0.009873958071693778,0.009873958071693778,,
1,22,0x4e18d852,0xa08980df,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,15,37,9,,,0.006559307919815183,0.006559307919815183,,
1,22,0x4e18d852,0xa08980df,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,15,37,9,,,0.00504852388985455,0.00504852388985455,,
1,23,0xa035ceba,0x611de4c4,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,21,107,,,,0.007307390216737986,0.012616317952051759,,
1,23,0xa035ceba,0x611de4c4,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,21,107,,,,1.35504777636379,1.3659138560760766,0.0,0.0
1,23,0xa035ceba,0x611de4c4,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,141,141,,,0.030709756072610617,0.030709756072610617,,
1,23,0xa035ceba,0x611de4c4,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,141,31,,,0.02021298697218299,0.02021298697218299,,
1,23,0xa035ceba,0x611de4c4,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,141,35,,,0.012073933845385909,0.012073933845385909,,
1,24,0xc2416ee4,0x7323f479,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,20,122,,,,0.0074754266534000635,0.011379390023648739,,
1,24,0xc2416ee4,0x7323f479,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,20,122,,,,1.4441600674763322,1.4552433150820434,0.0,0.0
1,24,0xc2416ee4,0x7323f479,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,21,159,159,,,0.025549971032887697,0.025549971032887697,,
1,24,0xc2416ee4,0x7323f479,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,21,159,37,,,0.01581394881941378,0.01581394881941378,,
1,24,0xc2416ee4,0x7323f479,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,21,159,40,,,0.011391048086807132,0.011391048086807132,,
1,25,0xfbdafbdd,0xa0c0cf2f,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,25,210,,,,0.011981962248682976,0.0176001840736717,,
1,25,0xfbdafbdd,0xa0c0cf2f,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,25,210,,,,2.5102628495078534,4.654108391143382,1.0468298899941146,0.8845481937751174
1,25,0xfbdafbdd,0xa0c0cf2f,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,25,210,210,,,0.03041180199943483,0.03041180199943483,,
1,25,0xfbdafbdd,0xa0c0cf2f,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,25,210,79,,,0.047276685014367104,0.047276685014367104,,
1,25,0xfbdafbdd,0xa0c0cf2f,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,25,210,79,,,0.015268470859155059,0.015268470859155059,,
