target_count,seed_index,numpy_qiskit_logical_match,fixed_fpga_normal_match,software_k4_fpga_k4_logical_match,software_k4_fpga_k4_physical_iter_match,software_k3_fpga_k3_logical_match,software_k3_fpga_k3_physical_iter_match,all_fpga_logical_match
256,88,True,True,True,True,True,True,True
256,89,True,True,True,True,True,True,True
256,90,True,True,True,True,True,True,True
256,91,True,True,True,True,True,True,True
256,92,True,True,True,True,True,True,True
256,93,True,True,True,True,True,True,True
256,94,True,True,True,True,True,True,True
256,95,True,True,True,True,True,True,True
256,96,True,True,True,True,True,True,True
256,97,True,True,True,True,True,True,True
256,98,True,True,True,True,True,True,True
256,99,True,True,True,True,True,True,True
