target_count,seed_index,policy,software_actual_grover_iterations,fpga_actual_grover_iterations,delta,exact_match
16,49,K4H4,12,12,0,1
16,49,K3H3,12,12,0,1
16,50,K4H4,13,13,0,1
16,50,K3H3,16,16,0,1
16,51,K4H4,9,9,0,1
16,51,K3H3,9,9,0,1
16,52,K4H4,15,15,0,1
16,52,K3H3,15,15,0,1
16,53,K4H4,9,9,0,1
16,53,K3H3,9,9,0,1
16,54,K4H4,27,27,0,1
16,54,K3H3,29,29,0,1
16,55,K4H4,8,8,0,1
16,55,K3H3,8,8,0,1
16,56,K4H4,3,3,0,1
16,56,K3H3,3,3,0,1
16,57,K4H4,14,14,0,1
16,57,K3H3,14,14,0,1
16,58,K4H4,12,12,0,1
16,58,K3H3,12,12,0,1
16,59,K4H4,15,15,0,1
16,59,K3H3,15,15,0,1
16,60,K4H4,21,21,0,1
16,60,K3H3,23,23,0,1
16,61,K4H4,25,25,0,1
16,61,K3H3,27,27,0,1
16,62,K4H4,15,15,0,1
16,62,K3H3,15,15,0,1
16,63,K4H4,10,10,0,1
16,63,K3H3,11,11,0,1
16,64,K4H4,12,12,0,1
16,64,K3H3,12,12,0,1
16,65,K4H4,25,25,0,1
16,65,K3H3,27,27,0,1
16,66,K4H4,12,12,0,1
16,66,K3H3,12,12,0,1
16,67,K4H4,8,8,0,1
16,67,K3H3,9,9,0,1
16,68,K4H4,30,30,0,1
16,68,K3H3,31,31,0,1
16,69,K4H4,11,11,0,1
16,69,K3H3,12,12,0,1
16,70,K4H4,1,1,0,1
16,70,K3H3,1,1,0,1
16,71,K4H4,11,11,0,1
16,71,K3H3,12,12,0,1
16,72,K4H4,4,4,0,1
16,72,K3H3,4,4,0,1
16,73,K4H4,10,10,0,1
16,73,K3H3,10,10,0,1
16,74,K4H4,5,5,0,1
16,74,K3H3,5,5,0,1
16,75,K4H4,6,6,0,1
16,75,K3H3,6,6,0,1
16,76,K4H4,4,4,0,1
16,76,K3H3,4,4,0,1
16,77,K4H4,9,9,0,1
16,77,K3H3,9,9,0,1
16,78,K4H4,9,9,0,1
16,78,K3H3,9,9,0,1
16,79,K4H4,15,15,0,1
16,79,K3H3,16,16,0,1
16,80,K4H4,5,5,0,1
16,80,K3H3,5,5,0,1
16,81,K4H4,3,3,0,1
16,81,K3H3,3,3,0,1
16,82,K4H4,5,5,0,1
16,82,K3H3,5,5,0,1
16,83,K4H4,5,5,0,1
16,83,K3H3,5,5,0,1
16,84,K4H4,20,20,0,1
16,84,K3H3,23,23,0,1
16,85,K4H4,12,12,0,1
16,85,K3H3,17,17,0,1
16,86,K4H4,9,9,0,1
16,86,K3H3,9,9,0,1
16,87,K4H4,13,13,0,1
16,87,K3H3,13,13,0,1
16,88,K4H4,15,15,0,1
16,88,K3H3,16,16,0,1
16,89,K4H4,8,8,0,1
16,89,K3H3,8,8,0,1
16,90,K4H4,21,21,0,1
16,90,K3H3,24,24,0,1
16,91,K4H4,18,18,0,1
16,91,K3H3,18,18,0,1
16,92,K4H4,23,23,0,1
16,92,K3H3,25,25,0,1
16,93,K4H4,10,10,0,1
16,93,K3H3,10,10,0,1
16,94,K4H4,10,10,0,1
16,94,K3H3,14,14,0,1
16,95,K4H4,5,5,0,1
16,95,K3H3,5,5,0,1
16,96,K4H4,11,11,0,1
16,96,K3H3,11,11,0,1
16,97,K4H4,14,14,0,1
16,97,K3H3,16,16,0,1
16,98,K4H4,7,7,0,1
16,98,K3H3,7,7,0,1
16,99,K4H4,31,31,0,1
16,99,K3H3,31,31,0,1
64,0,K4H4,2,2,0,1
64,0,K3H3,2,2,0,1
64,1,K4H4,5,5,0,1
64,1,K3H3,5,5,0,1
64,2,K4H4,2,2,0,1
64,2,K3H3,2,2,0,1
64,3,K4H4,5,5,0,1
64,3,K3H3,5,5,0,1
64,4,K4H4,2,2,0,1
64,4,K3H3,2,2,0,1
64,5,K4H4,12,12,0,1
64,5,K3H3,12,12,0,1
64,6,K4H4,6,6,0,1
64,6,K3H3,6,6,0,1
64,7,K4H4,7,7,0,1
64,7,K3H3,7,7,0,1
64,8,K4H4,5,5,0,1
64,8,K3H3,5,5,0,1
64,9,K4H4,0,0,0,1
64,9,K3H3,0,0,0,1
64,10,K4H4,2,2,0,1
64,10,K3H3,2,2,0,1
64,11,K4H4,7,7,0,1
64,11,K3H3,7,7,0,1
64,12,K4H4,10,10,0,1
64,12,K3H3,10,10,0,1
64,13,K4H4,4,4,0,1
64,13,K3H3,4,4,0,1
64,14,K4H4,6,6,0,1
64,14,K3H3,6,6,0,1
64,15,K4H4,4,4,0,1
64,15,K3H3,4,4,0,1
64,16,K4H4,8,8,0,1
64,16,K3H3,8,8,0,1
64,17,K4H4,2,2,0,1
64,17,K3H3,2,2,0,1
64,18,K4H4,4,4,0,1
64,18,K3H3,4,4,0,1
64,19,K4H4,6,6,0,1
64,19,K3H3,6,6,0,1
64,20,K4H4,5,5,0,1
64,20,K3H3,5,5,0,1
64,21,K4H4,6,6,0,1
64,21,K3H3,6,6,0,1
64,22,K4H4,3,3,0,1
64,22,K3H3,3,3,0,1
64,23,K4H4,5,5,0,1
64,23,K3H3,5,5,0,1
64,24,K4H4,1,1,0,1
64,24,K3H3,1,1,0,1
64,25,K4H4,2,2,0,1
64,25,K3H3,2,2,0,1
64,26,K4H4,6,6,0,1
64,26,K3H3,6,6,0,1
64,27,K4H4,2,2,0,1
64,27,K3H3,2,2,0,1
64,28,K4H4,5,5,0,1
64,28,K3H3,5,5,0,1
64,29,K4H4,2,2,0,1
64,29,K3H3,2,2,0,1
64,30,K4H4,3,3,0,1
64,30,K3H3,3,3,0,1
64,31,K4H4,5,5,0,1
64,31,K3H3,5,5,0,1
64,32,K4H4,1,1,0,1
64,32,K3H3,1,1,0,1
64,33,K4H4,1,1,0,1
64,33,K3H3,1,1,0,1
64,34,K4H4,4,4,0,1
64,34,K3H3,4,4,0,1
64,35,K4H4,8,8,0,1
64,35,K3H3,8,8,0,1
64,36,K4H4,9,9,0,1
64,36,K3H3,9,9,0,1
64,37,K4H4,7,7,0,1
64,37,K3H3,9,9,0,1
64,38,K4H4,5,5,0,1
64,38,K3H3,5,5,0,1
64,39,K4H4,3,3,0,1
64,39,K3H3,3,3,0,1
64,40,K4H4,4,4,0,1
64,40,K3H3,4,4,0,1
64,41,K4H4,2,2,0,1
64,41,K3H3,2,2,0,1
64,42,K4H4,5,5,0,1
64,42,K3H3,5,5,0,1
64,43,K4H4,5,5,0,1
64,43,K3H3,5,5,0,1
64,44,K4H4,3,3,0,1
64,44,K3H3,3,3,0,1
64,45,K4H4,4,4,0,1
64,45,K3H3,4,4,0,1
64,46,K4H4,4,4,0,1
64,46,K3H3,4,4,0,1
64,47,K4H4,12,12,0,1
64,47,K3H3,13,13,0,1
64,48,K4H4,6,6,0,1
64,48,K3H3,6,6,0,1
64,49,K4H4,5,5,0,1
64,49,K3H3,5,5,0,1
64,50,K4H4,12,12,0,1
64,50,K3H3,12,12,0,1
64,51,K4H4,3,3,0,1
64,51,K3H3,3,3,0,1
64,52,K4H4,15,15,0,1
64,52,K3H3,15,15,0,1
64,53,K4H4,7,7,0,1
64,53,K3H3,7,7,0,1
64,54,K4H4,4,4,0,1
64,54,K3H3,4,4,0,1
64,55,K4H4,1,1,0,1
64,55,K3H3,1,1,0,1
64,56,K4H4,2,2,0,1
64,56,K3H3,2,2,0,1
64,57,K4H4,5,5,0,1
64,57,K3H3,5,5,0,1
64,58,K4H4,2,2,0,1
64,58,K3H3,2,2,0,1
64,59,K4H4,4,4,0,1
64,59,K3H3,4,4,0,1
64,60,K4H4,1,1,0,1
64,60,K3H3,1,1,0,1
64,61,K4H4,3,3,0,1
64,61,K3H3,3,3,0,1
64,62,K4H4,2,2,0,1
64,62,K3H3,2,2,0,1
64,63,K4H4,5,5,0,1
64,63,K3H3,5,5,0,1
64,64,K4H4,4,4,0,1
64,64,K3H3,4,4,0,1
64,65,K4H4,6,6,0,1
64,65,K3H3,7,7,0,1
64,66,K4H4,8,8,0,1
64,66,K3H3,8,8,0,1
64,67,K4H4,5,5,0,1
64,67,K3H3,5,5,0,1
64,68,K4H4,6,6,0,1
64,68,K3H3,6,6,0,1
64,69,K4H4,5,5,0,1
64,69,K3H3,5,5,0,1
64,70,K4H4,12,12,0,1
64,70,K3H3,12,12,0,1
64,71,K4H4,11,11,0,1
64,71,K3H3,12,12,0,1
64,72,K4H4,5,5,0,1
64,72,K3H3,5,5,0,1
64,73,K4H4,10,10,0,1
64,73,K3H3,10,10,0,1
64,74,K4H4,13,13,0,1
64,74,K3H3,13,13,0,1
64,75,K4H4,1,1,0,1
64,75,K3H3,1,1,0,1
64,76,K4H4,11,11,0,1
64,76,K3H3,12,12,0,1
64,77,K4H4,3,3,0,1
64,77,K3H3,3,3,0,1
64,78,K4H4,2,2,0,1
64,78,K3H3,2,2,0,1
64,79,K4H4,15,15,0,1
64,79,K3H3,16,16,0,1
64,80,K4H4,2,2,0,1
64,80,K3H3,2,2,0,1
64,81,K4H4,2,2,0,1
64,81,K3H3,2,2,0,1
64,82,K4H4,5,5,0,1
64,82,K3H3,5,5,0,1
64,83,K4H4,8,8,0,1
64,83,K3H3,9,9,0,1
64,84,K4H4,1,1,0,1
64,84,K3H3,1,1,0,1
64,85,K4H4,3,3,0,1
64,85,K3H3,3,3,0,1
64,86,K4H4,6,6,0,1
64,86,K3H3,6,6,0,1
64,87,K4H4,8,8,0,1
64,87,K3H3,8,8,0,1
64,88,K4H4,6,6,0,1
64,88,K3H3,6,6,0,1
64,89,K4H4,5,5,0,1
64,89,K3H3,5,5,0,1
64,90,K4H4,6,6,0,1
64,90,K3H3,6,6,0,1
64,91,K4H4,8,8,0,1
64,91,K3H3,8,8,0,1
64,92,K4H4,1,1,0,1
64,92,K3H3,1,1,0,1
64,93,K4H4,3,3,0,1
64,93,K3H3,3,3,0,1
64,94,K4H4,7,7,0,1
64,94,K3H3,7,7,0,1
64,95,K4H4,18,18,0,1
64,95,K3H3,25,25,0,1
64,96,K4H4,6,6,0,1
64,96,K3H3,6,6,0,1
64,97,K4H4,14,14,0,1
64,97,K3H3,16,16,0,1
64,98,K4H4,2,2,0,1
64,98,K3H3,2,2,0,1
64,99,K4H4,2,2,0,1
64,99,K3H3,2,2,0,1
256,0,K4H4,3,3,0,1
256,0,K3H3,3,3,0,1
256,1,K4H4,1,1,0,1
256,1,K3H3,1,1,0,1
256,2,K4H4,2,2,0,1
256,2,K3H3,2,2,0,1
256,3,K4H4,4,4,0,1
256,3,K3H3,4,4,0,1
256,4,K4H4,7,7,0,1
256,4,K3H3,7,7,0,1
256,5,K4H4,2,2,0,1
256,5,K3H3,2,2,0,1
