target,seed,seed_j_equal,seed_meas_equal,trial_count_equal,l_bbht_equal,success_equal,result_valid_equal,result_index_equal,timeout_equal,unexpected_error_equal,terminal_limit_equal,status_exact_equal,observed_logical_semantics_equal,normal_trial_count,h4_trial_count,normal_l_bbht,h4_l_bbht,normal_result_index,h4_result_index
4,2,1,1,1,1,1,1,1,1,1,1,1,1,19,19,89,89,2852,2852
4,3,1,1,1,1,1,1,1,1,1,1,1,1,20,20,101,101,2852,2852
4,4,1,1,1,1,1,1,1,1,1,1,1,1,16,16,47,47,4724,4724
4,5,1,1,1,1,1,1,1,1,1,1,1,1,20,20,72,72,2852,2852
4,6,1,1,1,1,1,1,1,1,1,1,1,1,9,9,14,14,507,507
4,7,1,1,1,1,1,1,1,1,1,1,1,1,21,21,112,112,507,507
4,8,1,1,1,1,1,1,1,1,1,1,1,1,15,15,40,40,2852,2852
4,9,1,1,1,1,1,1,1,1,1,1,1,1,23,23,94,94,2852,2852
4,10,1,1,1,1,1,1,1,1,1,1,1,1,19,19,65,65,2852,2852
4,11,1,1,1,1,1,1,1,1,1,1,1,1,15,15,41,41,4724,4724
4,12,1,1,1,1,1,1,1,1,1,1,1,1,18,18,42,42,507,507
4,13,1,1,1,1,1,1,1,1,1,1,1,1,22,22,128,128,2852,2852
4,14,1,1,1,1,1,1,1,1,1,1,1,1,17,17,59,59,4724,4724
4,15,1,1,1,1,1,1,1,1,1,1,1,1,21,21,85,85,8685,8685
4,16,1,1,1,1,1,1,1,1,1,1,1,1,21,21,116,116,2852,2852
4,17,1,1,1,1,1,1,1,1,1,1,1,1,24,24,121,121,507,507
4,18,1,1,1,1,1,1,1,1,1,1,1,1,22,22,116,116,8685,8685
4,19,1,1,1,1,1,1,1,1,1,1,1,1,21,21,82,82,507,507
4,20,1,1,1,1,1,1,1,1,1,1,1,1,22,22,112,112,507,507
4,21,1,1,1,1,1,1,1,1,1,1,1,1,9,9,4,4,2852,2852
4,22,1,1,1,1,1,1,1,1,1,1,1,1,15,15,37,37,507,507
4,23,1,1,1,1,1,1,1,1,1,1,1,1,12,12,21,21,8685,8685
4,24,1,1,1,1,1,1,1,1,1,1,1,1,9,9,14,14,8685,8685
4,25,1,1,1,1,1,1,1,1,1,1,1,1,19,19,77,77,4724,4724
4,26,1,1,1,1,1,1,1,1,1,1,1,1,21,21,83,83,2852,2852
4,27,1,1,1,1,1,1,1,1,1,1,1,1,19,19,77,77,507,507
4,28,1,1,1,1,1,1,1,1,1,1,1,1,23,23,142,142,2852,2852
4,29,1,1,1,1,1,1,1,1,1,1,1,1,18,18,62,62,2852,2852
4,30,1,1,1,1,1,1,1,1,1,1,1,1,20,20,80,80,2852,2852
4,31,1,1,1,1,1,1,1,1,1,1,1,1,10,10,14,14,4724,4724
4,32,1,1,1,1,1,1,1,1,1,1,1,1,21,21,70,70,4724,4724
4,33,1,1,1,1,1,1,1,1,1,1,1,1,20,20,98,98,8685,8685
4,34,1,1,1,1,1,1,1,1,1,1,1,1,11,11,17,17,8685,8685
4,35,1,1,1,1,1,1,1,1,1,1,1,1,18,18,73,73,8685,8685
4,36,1,1,1,1,1,1,1,1,1,1,1,1,17,17,47,47,4724,4724
4,37,1,1,1,1,1,1,1,1,1,1,1,1,20,20,85,85,507,507
4,38,1,1,1,1,1,1,1,1,1,1,1,1,16,16,54,54,8685,8685
4,39,1,1,1,1,1,1,1,1,1,1,1,1,18,18,71,71,4724,4724
4,40,1,1,1,1,1,1,1,1,1,1,1,1,18,18,48,48,507,507
4,41,1,1,1,1,1,1,1,1,1,1,1,1,12,12,14,14,2852,2852
4,42,1,1,1,1,1,1,1,1,1,1,1,1,15,15,34,34,2852,2852
4,43,1,1,1,1,1,1,1,1,1,1,1,1,19,19,98,98,4724,4724
4,44,1,1,1,1,1,1,1,1,1,1,1,1,21,21,123,123,2852,2852
4,45,1,1,1,1,1,1,1,1,1,1,1,1,20,20,102,102,2852,2852
4,46,1,1,1,1,1,1,1,1,1,1,1,1,18,18,68,68,507,507
4,47,1,1,1,1,1,1,1,1,1,1,1,1,19,19,76,76,8685,8685
4,48,1,1,1,1,1,1,1,1,1,1,1,1,22,22,95,95,2852,2852
4,49,1,1,1,1,1,1,1,1,1,1,1,1,16,16,44,44,507,507
16,0,1,1,1,1,1,1,1,1,1,1,1,1,11,11,15,15,4512,4512
16,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,23,23,507,507
16,2,1,1,1,1,1,1,1,1,1,1,1,1,17,17,56,56,10593,10593
16,3,1,1,1,1,1,1,1,1,1,1,1,1,18,18,56,56,5281,5281
16,4,1,1,1,1,1,1,1,1,1,1,1,1,14,14,27,27,4512,4512
