target,seed,normal_cycles,h4_cycles,delta_cycles,speedup,normal_iter,h4_iter,delta_iter
256,3,20325,12237,8088,1.6609463103701887,8,4,4
256,4,33617,18101,15516,1.8571902104856086,17,7,10
256,5,18357,10790,7567,1.70129749768304,5,2,3
256,6,16384,8278,8106,1.9792220343078037,7,2,5
256,7,18133,9517,8616,1.9053273090259535,8,3,5
256,8,22152,13553,8599,1.6344720726038515,8,4,4
256,9,1445,1551,-106,0.9316569954867827,0,0,0
256,10,7226,4776,2450,1.5129815745393635,2,1,1
256,11,35085,20143,14942,1.7417961574740604,19,7,12
256,12,9675,6718,2957,1.4401607621315868,3,2,1
256,13,13219,7686,5533,1.719880301847515,5,2,3
256,14,15408,7808,7600,1.973360655737705,7,2,5
256,15,15189,10194,4995,1.4899941141848145,3,2,1
256,16,11814,7315,4499,1.6150375939849624,4,2,2
256,17,15729,8658,7071,1.8167013167013166,6,2,4
256,18,12995,6950,6045,1.8697841726618705,4,1,3
256,19,12645,8668,3977,1.458814028610983,3,2,1
256,20,21670,12548,9122,1.7269684411858464,9,4,5
256,21,16449,12493,3956,1.3166573281037381,4,4,0
256,22,18451,10362,8089,1.7806408029337966,7,3,4
256,23,11050,7060,3990,1.565155807365439,4,2,2
256,24,20357,9676,10681,2.10386523356759,10,3,7
256,25,29966,15186,14780,1.9732648492032134,14,5,9
256,26,17366,9272,8094,1.8729508196721312,6,2,4
256,27,12087,7587,4500,1.5931198102016608,4,2,2
256,28,17873,9259,8614,1.930338049465385,7,2,5
256,29,16167,9091,7076,1.7783522164778351,6,2,4
256,30,18794,10702,8092,1.756120351336199,7,3,4
256,31,22862,12706,10156,1.7993074138202425,10,4,6
256,32,25500,12771,12729,1.9967112990368805,12,4,8
256,33,18528,9912,8616,1.8692493946731235,8,3,5
256,34,14911,8871,6040,1.6808702513809042,5,2,3
256,35,14329,7764,6565,1.8455692941782587,6,2,4
256,36,11838,8370,3468,1.414336917562724,3,2,1
