target_count,seed_index,seed_j,seed_meas,mode,success,result_valid,result_index,trial_count,l_bbht,actual_iter,cycle_count,timer_hi,timer_lo,status,timeout,unexpected_error,terminal_limit,elapsed_us
1,93,0xc435e6f2,0xf75a52bc,1,1,1,507,23,192,50,72782,0,733,0x0000080c,0,0,0,733
1,94,0x011b63f0,0x0aa34346,1,1,1,507,18,62,23,39007,0,396,0x0000080c,0,0,0,396
1,95,0x1b456e77,0xee460f94,1,1,1,507,20,75,18,39243,0,397,0x0000080c,0,0,0,397
1,96,0x10088608,0xef418331,1,1,1,507,24,183,64,89876,0,905,0x0000080c,0,0,0,905
1,97,0x6fcfc352,0xf8fa9f4c,1,1,1,507,21,102,26,52219,0,527,0x0000080c,0,0,0,527
1,98,0xfb6077af,0x713595a9,1,1,1,507,20,102,20,38751,0,392,0x0000080c,0,0,0,392
1,99,0xc6ebb72e,0x08fdf109,1,1,1,507,27,263,138,169312,0,1698,0x0000088c,0,0,0,1698
4,0,0x7b1dcdaf,0x24370df2,1,1,1,8685,21,119,38,58500,0,590,0x0000080c,0,0,0,590
4,1,0x3a85a4dc,0xa3b9aa35,1,1,1,8685,23,132,43,64487,0,650,0x0000080c,0,0,0,650
4,2,0x6162a8b2,0x871c276f,1,1,1,2852,19,89,24,42805,0,434,0x0000080c,0,0,0,434
4,3,0xc3adc34e,0xf5b8f22b,1,1,1,2852,20,101,28,48148,0,486,0x0000080c,0,0,0,486
4,4,0x2bb073ff,0x3f8396e3,1,1,1,4724,16,47,11,26169,0,266,0x0000080c,0,0,0,266
4,5,0xda585ab3,0xa7197ad7,1,1,1,2852,20,72,18,35825,0,362,0x0000080c,0,0,0,362
4,6,0x0ed109c0,0x5701ce52,1,1,1,507,9,14,4,11921,0,124,0x0000080c,0,0,0,124
4,7,0x102ecf73,0x53c7612b,1,1,1,507,21,112,36,55807,0,563,0x0000080c,0,0,0,563
4,8,0xcf29b6a1,0x35231a84,1,1,1,2852,15,40,8,21671,0,222,0x0000080c,0,0,0,222
4,9,0xc49cbb42,0xd0a3bbb8,1,1,1,2852,23,94,29,52512,0,530,0x0000080c,0,0,0,530
4,10,0x4cc51d23,0xee0e3ab4,1,1,1,2852,19,65,19,36501,0,370,0x0000080c,0,0,0,370
4,11,0xf9e8aa7a,0x3208c31a,1,1,1,4724,15,41,10,24053,0,246,0x0000080c,0,0,0,246
4,12,0xdda8b051,0xc8105c9d,1,1,1,507,18,42,10,25956,0,264,0x0000080c,0,0,0,264
4,13,0xabfb11bf,0xf5dec75e,1,1,1,2852,22,128,41,64403,0,648,0x0000080c,0,0,0,648
4,14,0x20639811,0x6b6a7c47,1,1,1,4724,17,59,14,31495,0,320,0x0000080c,0,0,0,320
4,15,0xac72acd2,0xca84bc6c,1,1,1,8685,21,85,35,57030,0,575,0x0000080c,0,0,0,575
4,16,0x49a2da79,0xe1376725,1,1,1,2852,21,116,21,41199,0,417,0x0000080c,0,0,0,417
4,17,0x63a4e9d7,0x6166dba4,1,1,1,507,24,121,33,56803,0,572,0x0000080c,0,0,0,572
4,18,0x8983f102,0x43fb6183,1,1,1,8685,22,116,25,45947,0,465,0x0000080c,0,0,0,465
4,19,0xb671aa78,0xc97ad8a2,1,1,1,507,21,82,28,50142,0,506,0x0000080c,0,0,0,506
4,20,0xdaeb566a,0x989e5b3d,1,1,1,507,22,112,29,50278,0,507,0x0000080c,0,0,0,507
4,21,0xf6181c00,0xa345ac4b,1,1,1,2852,9,4,4,12485,0,130,0x0000080c,0,0,0,130
4,22,0x4e18d852,0xa08980df,1,1,1,507,15,37,9,21811,0,223,0x0000080c,0,0,0,223
4,23,0xa035ceba,0x611de4c4,1,1,1,8685,12,21,7,19289,0,198,0x0000080c,0,0,0,198
4,24,0xc2416ee4,0x7323f479,1,1,1,8685,9,14,4,11636,0,121,0x0000080c,0,0,0,121
4,25,0xfbdafbdd,0xa0c0cf2f,1,1,1,4724,19,77,22,39869,0,403,0x0000080c,0,0,0,403
4,26,0xa43fbf47,0x8de97b10,1,1,1,2852,21,83,22,40645,0,412,0x0000080c,0,0,0,412
4,27,0x6811f7c1,0xcb07044a,1,1,1,507,19,77,21,38452,0,389,0x0000080c,0,0,0,389
4,28,0x610dde2c,0x8cf5deb9,1,1,1,2852,23,142,30,51517,0,520,0x0000080c,0,0,0,520
4,29,0x82241b87,0xbbe27f39,1,1,1,2852,18,62,19,35595,0,360,0x0000080c,0,0,0,360
4,30,0x48647490,0xea9551eb,1,1,1,2852,20,80,25,45122,0,456,0x0000080c,0,0,0,456
4,31,0x63df3b7f,0xa8b057e1,1,1,1,4724,10,14,4,13488,0,139,0x0000080c,0,0,0,139
4,32,0x433125bb,0x3221fef0,1,1,1,4724,21,70,25,43050,0,435,0x0000080c,0,0,0,435
4,33,0x7943be40,0x6641ee79,1,1,1,8685,20,98,28,47954,0,484,0x0000080c,0,0,0,484
4,34,0x26c93252,0x675d2908,1,1,1,8685,11,17,4,13835,0,143,0x0000080c,0,0,0,143
4,35,0xdbe3ed49,0xa7cfea56,1,1,1,8685,18,73,17,35368,0,360,0x0000080c,0,0,0,360
4,36,0xc2ec9bb4,0xbfc0ae9e,1,1,1,4724,17,47,17,36526,0,370,0x0000080c,0,0,0,370
4,37,0xe7ec8559,0x307064ac,1,1,1,507,20,85,31,50995,0,514,0x0000080c,0,0,0,514
4,38,0xccb88b54,0x2cf00158,1,1,1,8685,16,54,14,29519,0,301,0x0000080c,0,0,0,301
4,39,0xb512e6a4,0x2b9e708c,1,1,1,4724,18,71,22,40087,0,406,0x0000080c,0,0,0,406
4,40,0x7e2c3d82,0xa69fb195,1,1,1,507,18,48,13,29951,0,305,0x0000080c,0,0,0,305
4,41,0x58b3e5ad,0x23a21253,1,1,1,2852,12,14,7,17875,0,184,0x0000080c,0,0,0,184
4,42,0x9a07c40b,0x3ea78d8c,1,1,1,2852,15,34,12,26182,0,266,0x0000080c,0,0,0,266
4,43,0xf1f9a54b,0x7b00db61,1,1,1,4724,19,98,20,39492,0,400,0x0000080c,0,0,0,400
4,44,0xfba6212d,0xb8b8356a,1,1,1,2852,21,123,31,49898,0,505,0x0000080c,0,0,0,505
4,45,0x1ca60615,0xd753b84a,1,1,1,2852,20,102,33,51442,0,519,0x0000080c,0,0,0,519
4,46,0xa085c93e,0x19b8504d,1,1,1,507,18,68,17,34445,0,350,0x0000080c,0,0,0,350
4,47,0x18190603,0xad0438b2,1,1,1,8685,19,76,26,44302,0,448,0x0000080c,0,0,0,448
4,48,0xc1143c78,0xbbdab3cd,1,1,1,2852,22,95,34,57858,0,584,0x0000080c,0,0,0,584
4,49,0x332063fc,0x222ba57c,1,1,1,507,16,44,12,27886,0,284,0x0000080c,0,0,0,284
4,50,0xd6f4066b,0xab9eb714,1,1,1,8685,12,9,2,11787,0,122,0x0000080c,0,0,0,122
4,51,0x64b9628c,0x9cd8b518,1,1,1,4724,21,111,23,43729,0,441,0x0000080c,0,0,0,441
4,52,0x894e6771,0x8a255c2e,1,1,1,2852,18,73,21,39389,0,398,0x0000080c,0,0,0,398
4,53,0xe3e668e8,0xff1f20c3,1,1,1,4724,20,77,26,45934,0,464,0x0000080c,0,0,0,464
4,54,0x36980406,0xfbdbfa61,1,1,1,2852,24,217,64,89109,0,896,0x0000080c,0,0,0,896
4,55,0x114d2b4a,0xa617ad4e,1,1,1,507,23,124,52,73784,0,743,0x0000080c,0,0,0,743
4,56,0x3b8907e1,0x0c6cbd10,1,1,1,8685,19,59,20,37449,0,380,0x0000080c,0,0,0,380
4,57,0x2cd09c1d,0x964fb1a7,1,1,1,4724,22,166,40,60432,0,609,0x0000080c,0,0,0,609
4,58,0x6d7a8604,0xbd6f99c6,1,1,1,507,21,97,21,41448,0,419,0x0000080c,0,0,0,419
4,59,0x1fadaf42,0x60010aa3,1,1,1,2852,20,86,20,39029,0,395,0x0000080c,0,0,0,395
4,60,0x92fe7cfd,0xb54e2773,1,1,1,507,18,84,21,39039,0,396,0x0000080c,0,0,0,396
4,61,0x1aecb060,0x9c545eba,1,1,1,507,22,123,46,69295,0,698,0x0000080c,0,0,0,698
4,62,0x91778cc3,0xbd1d1bc0,1,1,1,2852,23,153,34,56543,0,571,0x0000080c,0,0,0,571
4,63,0xe6b7e7eb,0xd542988e,1,1,1,2852,18,54,10,26528,0,271,0x0000080c,0,0,0,271
4,64,0x6770144c,0xd2d3c6e7,1,1,1,507,19,64,15,32622,0,331,0x0000080c,0,0,0,331
4,65,0xc600a248,0x0a1e0844,1,1,1,8685,23,131,62,84112,0,846,0x0000080c,0,0,0,846
4,66,0x1ea4f830,0x2ef0f28e,1,1,1,4724,25,172,58,81911,0,824,0x0000080c,0,0,0,824
4,67,0x639604f3,0x7fe04f83,1,1,1,8685,16,30,8,22298,0,228,0x0000080c,0,0,0,228
4,68,0x6e084a84,0xb643b17e,1,1,1,2852,21,81,30,50253,0,507,0x0000080c,0,0,0,507
4,69,0x3d7fc476,0x467d7a44,1,1,1,8685,22,106,26,46638,0,472,0x0000080c,0,0,0,472
4,70,0xedca3875,0xefade11e,1,1,1,2852,23,119,32,55542,0,560,0x0000080c,0,0,0,560
4,71,0xb883121d,0x095c678c,1,1,1,2852,22,124,37,59308,0,598,0x0000080c,0,0,0,598
4,72,0xace22797,0xbc422a9a,1,1,1,507,12,15,4,13875,0,145,0x0000080c,0,0,0,145
4,73,0xefd3172d,0x8c2c3233,1,1,1,2852,20,66,17,36792,0,373,0x0000080c,0,0,0,373
4,74,0xe6aacdb5,0x7f1c158a,1,1,1,507,21,145,33,53366,0,538,0x0000080c,0,0,0,538
4,75,0x6566c598,0xca804b00,1,1,1,2852,9,9,4,12578,0,131,0x0000080c,0,0,0,131
4,76,0x4e646d9d,0xcbae5ac0,1,1,1,2852,16,47,12,26387,0,269,0x0000080c,0,0,0,269
4,77,0x05d81d6f,0x260c4013,1,1,1,507,18,67,22,37166,0,377,0x0000080c,0,0,0,377
4,78,0x2018f6a3,0x5728c7f4,1,1,1,4724,25,177,57,84680,0,853,0x0000080c,0,0,0,853
4,79,0x718ebf0c,0x4d7d460c,1,1,1,2852,22,90,28,50800,0,513,0x0000080c,0,0,0,513
4,80,0x042a8f17,0x2093b3f4,1,1,1,8685,24,175,48,71411,0,720,0x0000080c,0,0,0,720
4,81,0xfc1c775d,0x35bd20f1,1,1,1,8685,9,12,3,10951,0,115,0x0000080c,0,0,0,115
