m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,policy_cycles,policy_stall,policy_actions,cold,spec,mismatch
4,22,normal,507,15,37,37,16859,0,0,0,0,0,0
4,22,k4,507,15,37,9,7865,2720,156,425,1,15,0
4,23,normal,8685,12,21,21,11280,0,0,0,0,0,0
4,23,k4,8685,12,21,7,6310,1625,97,197,1,12,0
4,24,normal,8685,9,14,14,7963,0,0,0,0,0,0
4,24,k4,8685,9,14,4,4420,1338,93,194,1,9,0
4,25,normal,4724,19,77,77,29320,0,0,0,0,0,0
4,25,k4,4724,19,77,22,12791,3405,270,493,1,19,0
4,26,normal,2852,21,83,83,31756,0,0,0,0,0,0
4,26,k4,2852,21,83,22,13223,3709,104,539,1,21,0
4,27,normal,507,19,77,77,29333,0,0,0,0,0,0
4,27,k4,507,19,77,22,12823,3243,291,457,1,19,0
4,28,normal,2852,23,142,142,48307,0,0,0,0,0,0
4,28,k4,2852,23,142,32,16718,4901,146,836,1,23,0
4,29,normal,2852,18,62,62,24890,0,0,0,0,0,0
4,29,k4,2852,18,62,21,12135,2949,209,406,1,18,0
4,30,normal,2852,20,80,80,30505,0,0,0,0,0,0
4,30,k4,2852,20,80,26,14379,3773,529,618,1,20,0
4,31,normal,4724,10,14,14,8415,0,0,0,0,0,0
4,31,k4,4724,10,14,4,4745,1335,93,163,1,10,0
4,32,normal,4724,21,70,70,28374,0,0,0,0,0,0
4,32,k4,4724,21,70,26,14350,3384,106,445,1,21,0
4,33,normal,8685,20,98,98,35271,0,0,0,0,0,0
4,33,k4,8685,20,98,31,15309,4584,136,808,1,20,0
4,34,normal,8685,11,17,17,9610,0,0,0,0,0,0
4,34,k4,8685,11,17,4,5026,1391,97,153,1,11,0
4,35,normal,8685,18,73,73,27831,0,0,0,0,0,0
4,35,k4,8685,18,73,17,11225,2907,337,476,1,18,0
4,36,normal,4724,17,47,47,20562,0,0,0,0,0,0
4,36,k4,4724,17,47,18,14044,6020,3141,352,1,17,0
4,37,normal,507,20,85,85,31953,0,0,0,0,0,0
4,37,k4,507,20,85,32,16013,3504,319,533,1,20,0
4,38,normal,8685,16,54,54,21839,0,0,0,0,0,0
4,38,k4,8685,16,54,14,9489,2691,101,350,1,16,0
4,39,normal,4724,18,71,71,27355,0,0,0,0,0,0
4,39,k4,4724,18,71,22,12564,2893,295,394,1,18,0
4,40,normal,507,18,48,48,21126,0,0,0,0,0,0
4,40,k4,507,18,48,13,10080,3142,330,474,1,18,0
4,41,normal,2852,12,14,14,9269,0,0,0,0,0,0
4,41,k4,2852,12,14,7,6211,1631,158,210,1,12,0
4,42,normal,2852,15,34,34,15990,0,0,0,0,0,0
4,42,k4,2852,15,34,12,8672,2165,244,288,1,15,0
4,43,normal,4724,19,98,98,34913,0,0,0,0,0,0
4,43,k4,4724,19,98,20,12505,3316,478,466,1,19,0
4,44,normal,2852,21,123,123,42358,0,0,0,0,0,0
4,44,k4,2852,21,123,32,15921,3963,144,545,1,21,0
4,45,normal,2852,20,102,102,36301,0,0,0,0,0,0
4,45,k4,2852,20,102,33,15894,3665,227,588,1,20,0
4,46,normal,507,18,68,68,26524,0,0,0,0,0,0
4,46,k4,507,18,68,18,11278,3309,101,499,1,18,0
