target_count,seed_index,seed_j,seed_meas,mode,success,result_valid,result_index,trial_count,l_bbht,actual_iter,cycle_count,timer_hi,timer_lo,status,timeout,unexpected_error,terminal_limit
1,52,0x894e6771,0x8a255c2e,1,1,1,507,26,256,89,32999,0,335,0x0000080c,0,0,0
1,53,0xe3e668e8,0xff1f20c3,0,1,1,507,24,167,167,55526,0,560,0x0000080c,0,0,0
1,53,0xe3e668e8,0xff1f20c3,1,1,1,507,24,167,43,20229,0,207,0x0000080c,0,0,0
1,54,0x36980406,0xfbdbfa61,0,1,1,507,25,283,283,86727,0,872,0x0000080c,0,0,0
1,54,0x36980406,0xfbdbfa61,1,1,1,507,25,283,71,27948,0,284,0x0000080c,0,0,0
1,55,0x114d2b4a,0xa617ad4e,0,1,1,507,26,269,269,83461,0,839,0x0000080c,0,0,0
1,55,0x114d2b4a,0xa617ad4e,1,1,1,507,26,269,83,31429,0,319,0x0000080c,0,0,0
1,56,0x3b8907e1,0x0c6cbd10,0,1,1,507,23,142,142,48367,0,488,0x0000080c,0,0,0
1,56,0x3b8907e1,0x0c6cbd10,1,1,1,507,23,142,55,22734,0,232,0x0000080c,0,0,0
1,57,0x2cd09c1d,0x964fb1a7,0,1,1,507,24,241,241,75057,0,755,0x0000080c,0,0,0
1,57,0x2cd09c1d,0x964fb1a7,1,1,1,507,24,241,67,26272,0,267,0x0000080c,0,0,0
1,58,0x6d7a8604,0xbd6f99c6,0,1,1,507,28,369,369,110846,0,1112,0x0000088c,0,0,0
1,58,0x6d7a8604,0xbd6f99c6,1,1,1,507,28,369,134,46144,0,466,0x0000088c,0,0,0
1,59,0x1fadaf42,0x60010aa3,0,1,1,507,24,141,141,48642,0,492,0x0000080c,0,0,0
1,59,0x1fadaf42,0x60010aa3,1,1,1,507,24,141,33,17627,0,180,0x0000080c,0,0,0
1,60,0x92fe7cfd,0xb54e2773,0,1,1,507,21,135,135,45633,0,461,0x0000080c,0,0,0
1,60,0x92fe7cfd,0xb54e2773,1,1,1,507,21,135,33,16790,0,173,0x0000080c,0,0,0
1,61,0x1aecb060,0x9c545eba,0,1,1,507,27,306,306,93683,0,942,0x0000080c,0,0,0
1,61,0x1aecb060,0x9c545eba,1,1,1,507,27,306,97,36141,0,367,0x0000080c,0,0,0
1,62,0x91778cc3,0xbd1d1bc0,0,1,1,507,24,196,196,63138,0,636,0x0000080c,0,0,0
1,62,0x91778cc3,0xbd1d1bc0,1,1,1,507,24,196,44,20301,0,207,0x0000080c,0,0,0
1,63,0xe6b7e7eb,0xd542988e,0,1,1,507,19,67,67,26612,0,270,0x0000080c,0,0,0
1,63,0xe6b7e7eb,0xd542988e,1,1,1,507,19,67,14,10442,0,109,0x0000080c,0,0,0
1,64,0x6770144c,0xd2d3c6e7,0,1,1,507,23,129,129,44879,0,454,0x0000080c,0,0,0
1,64,0x6770144c,0xd2d3c6e7,1,1,1,507,23,129,37,21751,0,221,0x0000080c,0,0,0
1,65,0xc600a248,0x0a1e0844,0,1,1,507,26,277,277,85473,0,860,0x0000080c,0,0,0
1,65,0xc600a248,0x0a1e0844,1,1,1,507,26,277,94,34133,0,346,0x0000080c,0,0,0
1,66,0x1ea4f830,0x2ef0f28e,0,1,1,507,15,45,45,18967,0,194,0x0000080c,0,0,0
1,66,0x1ea4f830,0x2ef0f28e,1,1,1,507,15,45,12,8864,0,94,0x0000080c,0,0,0
1,67,0x639604f3,0x7fe04f83,0,1,1,507,22,105,105,38126,0,386,0x0000080c,0,0,0
1,67,0x639604f3,0x7fe04f83,1,1,1,507,22,105,48,20891,0,214,0x0000080c,0,0,0
1,68,0x6e084a84,0xb643b17e,0,1,1,507,26,239,239,75659,0,762,0x0000080c,0,0,0
