target_count,seed_j,backend,attempt,m_bound,requested_j,result_index,success,target_probability,execution_seconds
1,3,QISKIT_AER_STATEVECTOR,6,3,0,6395,False,6.103515625000003e-05,0.0016363989561796188
1,3,QISKIT_AER_STATEVECTOR,7,3,1,600,False,0.0005492270029208162,0.014831489999778569
1,3,QISKIT_AER_STATEVECTOR,8,4,0,3781,False,6.103515625000003e-05,0.0013661389239132404
1,3,QISKIT_AER_STATEVECTOR,9,5,4,7566,False,0.004935806069861492,0.03907002799678594
1,3,QISKIT_AER_STATEVECTOR,10,6,2,77,False,0.0015251339755106847,0.022359819966368377
1,3,QISKIT_AER_STATEVECTOR,11,7,4,8449,False,0.004935806069861492,0.05073427397292107
1,3,QISKIT_AER_STATEVECTOR,12,8,6,431,False,0.010279732566874785,0.07798490603454411
1,3,QISKIT_AER_STATEVECTOR,13,9,2,6095,False,0.0015251339755106847,0.024591397028416395
1,3,QISKIT_AER_STATEVECTOR,14,11,4,15460,False,0.004935806069861492,0.05204229708760977
1,3,QISKIT_AER_STATEVECTOR,15,13,10,6435,False,0.026676407418185676,0.13982960500288755
1,3,QISKIT_AER_STATEVECTOR,16,16,4,4598,False,0.004935806069861492,0.041092492057941854
1,3,QISKIT_AER_STATEVECTOR,17,19,1,11082,False,0.0005492270029208162,0.010965829016640782
1,3,QISKIT_AER_STATEVECTOR,18,23,9,12790,False,0.02187277996348911,0.11753533803857863
1,3,QISKIT_AER_STATEVECTOR,19,27,24,5259,False,0.1395280082243107,0.23603352392092347
1,3,QISKIT_AER_STATEVECTOR,20,32,22,0,True,0.11858967465648136,0.2955777699826285
1,4,NUMPY_FLOAT64,1,1,0,15163,False,6.103515625e-05,0.00012073491234332323
1,4,NUMPY_FLOAT64,2,2,0,5292,False,6.103515625e-05,0.00010877102613449097
1,4,NUMPY_FLOAT64,3,2,0,15037,False,6.103515625e-05,9.191699791699648e-05
1,4,NUMPY_FLOAT64,4,2,1,9796,False,0.0005492270029208157,0.0003243850078433752
1,4,NUMPY_FLOAT64,5,3,2,597,False,0.0015251339755106843,0.0003347169840708375
1,4,NUMPY_FLOAT64,6,3,2,2241,False,0.0015251339755106843,0.00031391694210469723
1,4,NUMPY_FLOAT64,7,3,2,10394,False,0.0015251339755106843,0.0002958310069516301
1,4,NUMPY_FLOAT64,8,4,3,10440,False,0.002987803098035274,0.00039551500231027603
1,4,NUMPY_FLOAT64,9,5,4,12410,False,0.004935806069861494,0.0005188799696043134
1,4,NUMPY_FLOAT64,10,6,5,724,False,0.007367240660447194,0.0006167240208014846
1,4,NUMPY_FLOAT64,11,7,3,731,False,0.002987803098035274,0.0004102709935978055
1,4,NUMPY_FLOAT64,12,8,6,1020,False,0.010279732566874802,0.0007044400554150343
1,4,NUMPY_FLOAT64,13,9,2,10702,False,0.0015251339755106843,0.0003081390168517828
1,4,NUMPY_FLOAT64,14,11,5,5195,False,0.007367240660447194,0.0006383869331330061
1,4,NUMPY_FLOAT64,15,13,1,10624,False,0.0005492270029208157,0.00019417901057749987
1,4,NUMPY_FLOAT64,16,16,9,8120,False,0.02187277996348917,0.0010355270933359861
1,4,NUMPY_FLOAT64,17,19,5,5129,False,0.007367240660447194,0.0006151669658720493
1,4,NUMPY_FLOAT64,18,23,5,15753,False,0.007367240660447194,0.0006189580308273435
1,4,NUMPY_FLOAT64,19,27,19,13765,False,0.08999882408905392,0.0019708600593730807
1,4,NUMPY_FLOAT64,20,32,22,10215,False,0.11858967465648255,0.0022599330404773355
1,4,NUMPY_FLOAT64,21,39,14,0,True,0.05045928870343037,0.0014666389906778932
1,4,QISKIT_AER_STATEVECTOR,1,1,0,15163,False,6.103515625000003e-05,0.002335206954739988
1,4,QISKIT_AER_STATEVECTOR,2,2,0,5292,False,6.103515625000003e-05,0.001918746973387897
1,4,QISKIT_AER_STATEVECTOR,3,2,0,15037,False,6.103515625000003e-05,0.002119684941135347
1,4,QISKIT_AER_STATEVECTOR,4,2,1,9796,False,0.0005492270029208162,0.018449530005455017
1,4,QISKIT_AER_STATEVECTOR,5,3,2,597,False,0.0015251339755106847,0.03260447608772665
1,4,QISKIT_AER_STATEVECTOR,6,3,2,2241,False,0.0015251339755106847,0.02431131002958864
1,4,QISKIT_AER_STATEVECTOR,7,3,2,10394,False,0.0015251339755106847,0.026193410041742027
1,4,QISKIT_AER_STATEVECTOR,8,4,3,10440,False,0.0029878030980352737,0.03708308795467019
1,4,QISKIT_AER_STATEVECTOR,9,5,4,12410,False,0.004935806069861492,0.058777649071998894
1,4,QISKIT_AER_STATEVECTOR,10,6,5,724,False,0.007367240660447187,0.07354858703911304
1,4,QISKIT_AER_STATEVECTOR,11,7,3,731,False,0.0029878030980352737,0.0391186629422009
1,4,QISKIT_AER_STATEVECTOR,12,8,6,1020,False,0.010279732566874785,0.0882045200560242
1,4,QISKIT_AER_STATEVECTOR,13,9,2,10702,False,0.0015251339755106847,0.020258703967556357
1,4,QISKIT_AER_STATEVECTOR,14,11,5,5195,False,0.007367240660447187,0.05075850896537304
1,4,QISKIT_AER_STATEVECTOR,15,13,1,10624,False,0.0005492270029208162,0.013731552986428142
1,4,QISKIT_AER_STATEVECTOR,16,16,9,8120,False,0.02187277996348911,0.11624760192353278
1,4,QISKIT_AER_STATEVECTOR,17,19,5,5129,False,0.007367240660447187,0.06796731799840927
1,4,QISKIT_AER_STATEVECTOR,18,23,5,15753,False,0.007367240660447187,0.06743956007994711
1,4,QISKIT_AER_STATEVECTOR,19,27,19,13765,False,0.08999882408905313,0.24580256501212716
1,4,QISKIT_AER_STATEVECTOR,20,32,22,10215,False,0.11858967465648136,0.2970594910439104
1,4,QISKIT_AER_STATEVECTOR,21,39,14,0,True,0.050459288703430076,0.18995958799496293
1,5,NUMPY_FLOAT64,1,1,0,9458,False,6.103515625e-05,0.00011921091936528683
1,5,NUMPY_FLOAT64,2,2,1,7977,False,0.0005492270029208157,0.00032592297066003084
1,5,NUMPY_FLOAT64,3,2,0,2933,False,6.103515625e-05,7.187109440565109e-05
1,5,NUMPY_FLOAT64,4,2,0,8773,False,6.103515625e-05,7.866299711167812e-05
1,5,NUMPY_FLOAT64,5,3,0,3903,False,6.103515625e-05,9.063701145350933e-05
1,5,NUMPY_FLOAT64,6,3,1,4896,False,0.0005492270029208157,0.00021182408090680838
1,5,NUMPY_FLOAT64,7,3,1,11224,False,0.0005492270029208157,0.0001267869956791401
1,5,NUMPY_FLOAT64,8,4,0,8578,False,6.103515625e-05,4.6587083488702774e-05
1,5,NUMPY_FLOAT64,9,5,3,15673,False,0.002987803098035274,0.00032242597080767155
1,5,NUMPY_FLOAT64,10,6,4,13998,False,0.004935806069861494,0.00038530805613845587
1,5,NUMPY_FLOAT64,11,7,2,4910,False,0.0015251339755106843,0.0003049740334972739
1,5,NUMPY_FLOAT64,12,8,6,1074,False,0.010279732566874802,0.0006356739904731512
1,5,NUMPY_FLOAT64,13,9,2,9633,False,0.0015251339755106843,0.00028106500394642353
1,5,NUMPY_FLOAT64,14,11,9,10745,False,0.02187277996348917,0.0008873560000211
1,5,NUMPY_FLOAT64,15,13,10,1099,False,0.02667640741818577,0.0007388179656118155
1,5,NUMPY_FLOAT64,16,16,7,6844,False,0.01367043773236499,0.0005040150135755539
1,5,NUMPY_FLOAT64,17,19,9,14452,False,0.02187277996348917,0.0005771690048277378
1,5,NUMPY_FLOAT64,18,23,3,1674,False,0.002987803098035274,0.00040389306377619505
1,5,NUMPY_FLOAT64,19,27,17,2467,False,0.0729245693708311,0.0013848330127075315
1,5,NUMPY_FLOAT64,20,32,12,376,False,0.03766512580579634,0.0011260270839557052
1,5,NUMPY_FLOAT64,21,39,24,15849,False,0.13952800822431213,0.0018254020251333714
1,5,NUMPY_FLOAT64,22,47,43,0,True,0.39508186520117,0.0025074040750041604
1,5,QISKIT_AER_STATEVECTOR,1,1,0,9458,False,6.103515625000003e-05,0.0017668900545686483
1,5,QISKIT_AER_STATEVECTOR,2,2,1,7977,False,0.0005492270029208162,0.012236659997142851
1,5,QISKIT_AER_STATEVECTOR,3,2,0,2933,False,6.103515625000003e-05,0.0012847280595451593
1,5,QISKIT_AER_STATEVECTOR,4,2,0,8773,False,6.103515625000003e-05,0.0012349840253591537
1,5,QISKIT_AER_STATEVECTOR,5,3,0,3903,False,6.103515625000003e-05,0.0011527820024639368
1,5,QISKIT_AER_STATEVECTOR,6,3,1,4896,False,0.0005492270029208162,0.010694897035136819
1,5,QISKIT_AER_STATEVECTOR,7,3,1,11224,False,0.0005492270029208162,0.011053598020225763
1,5,QISKIT_AER_STATEVECTOR,8,4,0,8578,False,6.103515625000003e-05,0.0011800660286098719
1,5,QISKIT_AER_STATEVECTOR,9,5,3,15673,False,0.0029878030980352737,0.040238299989141524
1,5,QISKIT_AER_STATEVECTOR,10,6,4,13998,False,0.004935806069861492,0.0531508750282228
1,5,QISKIT_AER_STATEVECTOR,11,7,2,4910,False,0.0015251339755106847,0.026944575016386807
1,5,QISKIT_AER_STATEVECTOR,12,8,6,1074,False,0.010279732566874785,0.07600370002910495
1,5,QISKIT_AER_STATEVECTOR,13,9,2,9633,False,0.0015251339755106847,0.027766601997427642
1,5,QISKIT_AER_STATEVECTOR,14,11,9,10745,False,0.02187277996348911,0.12611845694482327
1,5,QISKIT_AER_STATEVECTOR,15,13,10,1099,False,0.026676407418185676,0.1075852430658415
1,5,QISKIT_AER_STATEVECTOR,16,16,7,6844,False,0.013670437732364964,0.08560435089748353
