target_count,seed_index,requests,c3_work,c3_e1,c3_e2,c3_lb2,c3_maxjob,c3_ev_makespan,c3_ev_work,c3_ev_idle,c3_gate_makespan,c3_gate_work,c3_gate_idle,c4_work,c4_e1,c4_e2,c4_lb2,c4_maxjob,c4_ev_makespan,c4_ev_work,c4_ev_idle,c4_gate_makespan,c4_gate_work,c4_gate_idle,c5_work,c5_e1,c5_e2,c5_lb2,c5_maxjob,c5_ev_makespan,c5_ev_work,c5_ev_idle,c5_gate_makespan,c5_gate_work,c5_gate_idle
4,32,21,24,24,20,16,16,25,35,15,24,34,14,23,23,19,16,16,24,32,16,23,31,15,23,23,19,16,16,24,32,16,23,31,15
4,33,20,27,27,15,14,10,27,45,9,26,43,9,26,26,15,13,10,26,44,8,26,44,8,26,26,15,13,10,26,42,10,26,42,10
4,34,11,4,4,2,2,1,4,8,0,4,8,0,4,4,2,2,1,4,8,0,4,8,0,4,4,2,2,1,4,8,0,4,8,0
4,35,18,17,17,10,9,6,17,33,1,17,33,1,17,17,10,9,6,17,33,1,17,33,1,17,17,10,9,6,17,33,1,17,33,1
4,36,17,18,18,12,9,8,18,27,9,17,23,11,17,17,11,9,8,17,26,8,17,26,8,17,17,11,9,8,17,26,8,17,26,8
4,37,20,31,31,20,16,16,28,50,6,27,35,19,30,30,19,15,15,28,50,6,27,35,19,29,29,18,15,15,28,50,6,27,35,19
4,38,16,14,14,9,7,5,14,24,4,14,21,7,14,14,9,7,5,14,23,5,14,23,5,14,14,9,7,5,14,23,5,14,23,5
4,39,18,22,22,13,11,8,23,37,9,22,32,12,22,22,13,11,8,23,37,9,22,32,12,22,22,13,11,8,22,36,8,22,36,8
4,40,18,13,13,8,7,4,13,22,4,12,19,5,12,12,7,6,4,12,21,3,12,21,3,12,12,7,6,4,12,21,3,12,21,3
4,41,12,7,7,6,5,5,7,9,5,7,9,5,7,7,6,5,5,7,9,5,7,9,5,7,7,6,5,5,7,9,5,7,9,5
4,42,15,12,12,8,7,7,12,17,7,12,17,7,12,12,8,7,7,12,17,7,12,17,7,12,12,8,7,7,12,17,7,12,17,7
4,43,19,20,20,14,10,8,20,36,4,20,36,4,20,20,14,10,8,20,34,6,20,34,6,20,20,14,10,8,20,34,6,20,34,6
4,44,21,30,30,20,15,11,31,52,10,30,45,15,30,30,20,15,11,30,50,10,30,45,15,30,30,20,15,11,30,49,11,30,49,11
4,45,20,30,30,19,15,14,33,49,17,30,43,17,30,30,19,15,14,32,48,16,30,42,18,30,30,19,15,14,32,48,16,30,42,18
4,46,18,16,16,9,8,5,16,29,3,16,29,3,16,16,9,8,5,16,27,5,16,27,5,16,16,9,8,5,16,27,5,16,27,5
4,47,19,26,26,16,13,13,26,42,10,26,42,10,25,25,15,13,13,26,42,10,26,42,10,25,25,15,13,13,26,42,10,26,42,10
4,48,22,35,35,21,18,15,32,57,7,32,55,9,33,33,20,17,15,32,56,8,32,56,8,32,32,19,16,15,32,56,8,32,56,8
4,49,16,12,12,8,6,6,12,18,6,12,18,6,12,12,8,6,6,12,18,6,12,18,6,12,12,8,6,6,12,18,6,12,18,6
16,0,11,3,3,2,2,1,3,6,0,3,6,0,3,3,2,2,1,3,6,0,3,6,0,3,3,2,2,1,3,6,0,3,6,0
16,1,15,9,9,6,5,4,9,14,4,9,14,4,9,9,6,5,4,9,14,4,9,14,4,9,9,6,5,4,9,14,4,9,14,4
16,2,17,16,16,10,8,7,17,26,8,16,23,9,16,16,10,8,7,16,25,7,16,25,7,16,16,10,8,7,16,25,7,16,25,7
16,3,18,20,20,11,10,8,18,28,8,18,28,8,19,19,12,10,8,18,28,8,18,28,8,18,18,11,9,8,18,28,8,18,28,8
