target_count,seed_index,requests,requests_a,requests_b,normal,single_opt_k4,k22_a,k22_b,k22_total,k22_makespan,k32_a,k32_b,k32_total,k32_makespan,k23_a,k23_b,k23_total,k23_makespan,k33_a,k33_b,k33_total,k33_makespan
64,21,13,7,6,18,6,6,5,11,6,6,5,11,6,6,5,11,6,6,5,11,6
64,22,8,4,4,6,3,1,3,4,3,1,3,4,3,1,3,4,3,1,3,4,3
64,23,10,5,5,13,5,2,5,7,5,2,5,7,5,2,5,7,5,2,5,7,5
64,24,3,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1
64,25,6,3,3,3,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2
64,26,12,6,6,13,6,2,6,8,6,2,6,8,6,2,6,8,6,2,6,8,6
64,27,10,5,5,11,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
64,28,10,5,5,14,5,2,5,7,5,2,5,7,5,2,5,7,5,2,5,7,5
64,29,7,4,3,6,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
64,30,11,6,5,11,3,3,2,5,3,3,2,5,3,3,2,5,3,3,2,5,3
64,31,11,6,5,19,5,5,4,9,5,5,4,9,5,5,4,9,5,5,4,9,5
64,32,2,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
64,33,4,2,2,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
64,34,10,5,5,13,4,4,3,7,4,4,3,7,4,4,3,7,4,4,3,7,4
64,35,13,7,6,18,8,8,2,10,8,8,2,10,8,8,2,10,8,8,2,10,8
64,36,14,7,7,23,9,3,9,12,9,3,9,12,9,3,9,12,9,3,9,12,9
64,37,16,8,8,28,7,3,9,12,9,2,9,11,9,3,7,10,7,2,7,9,7
64,38,10,5,5,17,5,4,5,9,5,4,5,9,5,4,5,9,5,4,5,9,5
64,39,11,6,5,13,3,3,3,6,3,3,3,6,3,3,3,6,3,3,3,6,3
64,40,10,5,5,9,4,2,4,6,4,2,4,6,4,2,4,6,4,2,4,6,4
64,41,6,3,3,5,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
64,42,10,5,5,8,5,1,5,6,5,1,5,6,5,1,5,6,5,1,5,6,5
64,43,10,5,5,12,5,1,5,6,5,1,5,6,5,1,5,6,5,1,5,6,5
64,44,11,6,5,8,3,1,3,4,3,1,3,4,3,1,3,4,3,1,3,4,3
64,45,11,6,5,14,4,4,2,6,4,4,2,6,4,4,2,6,4,4,2,6,4
64,46,9,5,4,10,4,4,2,6,4,4,2,6,4,4,2,6,4,4,2,6,4
64,47,15,8,7,30,12,12,3,15,12,12,3,15,12,12,3,15,12,12,3,15,12
64,48,13,7,6,13,6,6,1,7,6,6,1,7,6,6,1,7,6,6,1,7,6
64,49,11,6,5,11,5,5,1,6,5,5,1,6,5,5,1,6,5,5,1,6,5
256,0,8,4,4,7,3,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3
256,1,5,3,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1
256,2,7,4,3,3,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2
256,3,9,5,4,8,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4
256,4,12,6,6,17,7,4,7,11,7,4,7,11,7,4,7,11,7,4,7,11,7
256,5,10,5,5,5,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2
256,6,7,4,3,7,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
256,7,8,4,4,8,3,2,3,5,3,2,3,5,3,2,3,5,3,2,3,5,3
256,8,10,5,5,8,4,2,4,6,4,2,4,6,4,2,4,6,4,2,4,6,4
256,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,10,4,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1
256,11,12,6,6,19,7,3,7,10,7,3,7,10,7,3,7,10,7,3,7,10,7
256,12,5,3,2,3,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
256,13,6,3,3,5,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2
256,14,6,3,3,7,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
256,15,9,5,4,3,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2
256,16,6,3,3,4,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2
256,17,7,4,3,6,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
256,18,7,4,3,4,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1
256,19,7,4,3,3,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2
256,20,9,5,4,9,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4
256,21,9,5,4,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4
256,22,9,5,4,7,3,1,3,4,3,1,3,4,3,1,3,4,3,1,3,4,3
256,23,5,3,2,4,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
256,24,8,4,4,10,3,1,3,4,3,1,3,4,3,1,3,4,3,1,3,4,3
256,25,12,6,6,14,5,2,5,7,5,2,5,7,5,2,5,7,5,2,5,7,5
256,26,9,5,4,6,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
256,27,6,3,3,4,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2
256,28,8,4,4,7,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
256,29,7,4,3,6,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
256,30,9,5,4,7,3,3,1,4,3,3,1,4,3,3,1,4,3,3,1,4,3
256,31,9,5,4,10,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4
256,32,10,5,5,12,4,2,4,6,4,2,4,6,4,2,4,6,4,2,4,6,4
256,33,8,4,4,8,3,1,3,4,3,1,3,4,3,1,3,4,3,1,3,4,3
256,34,7,4,3,5,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
256,35,6,3,3,6,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
256,36,6,3,3,3,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2
256,37,5,3,2,4,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
256,38,6,3,3,5,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
256,39,4,2,2,2,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
256,40,5,3,2,4,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
256,41,5,3,2,4,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
256,42,10,5,5,8,5,1,5,6,5,1,5,6,5,1,5,6,5,1,5,6,5
256,43,6,3,3,3,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
256,44,11,6,5,8,3,1,3,4,3,1,3,4,3,1,3,4,3,1,3,4,3
256,45,6,3,3,4,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2
256,46,8,4,4,6,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
256,47,9,5,4,6,3,3,2,5,3,3,2,5,3,3,2,5,3,3,2,5,3
256,48,11,6,5,7,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4
256,49,9,5,4,6,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
